# 2025 외국인 수도권 일괄지정에서 제외된 곳
#
# ⚠ NOT_INCLUDED 는 "어떤 토허 규제도 없다" 는 뜻이 아니다.
#   외국인 수도권 일괄지정에 포함되지 않았다는 뜻일 뿐이고,
#   개발사업·공공택지·재개발 등의 별도 토허구역은 독립적으로 조회해야 한다.
sido,sigungu,lawd_cd,foreign_only_zone_status,note
인천광역시,동구,28140,NOT_INCLUDED,외국인 일괄지정 미포함 · 별도 토허는 독립 확인 필요
인천광역시,강화군,28710,NOT_INCLUDED,외국인 일괄지정 미포함 · 별도 토허는 독립 확인 필요
인천광역시,옹진군,28720,NOT_INCLUDED,외국인 일괄지정 미포함 · 별도 토허는 독립 확인 필요
