complex_id,name,lawd_cd,emd,band,zone,tier,price_now,n_leaders,consensus,consensus_gap,mispricing,mispricing_status,label,reason,leaders
6466,동양아파트,41250,생연동,59,Z41250-생연동,8,48500000.0,3,OK,0.29744084983099944,0.0,PROXY,FALSE_CHEAP,구조적 비중 91%,LOCAL:6479:59|GRADE:6463:59|UPPER_GRADE:10005:59
5694,한일미래아파트,41173,평촌동,84,Z41173-호계동,4,530000000.0,2,THIN,0.2966033278271284,0.09505126535283923,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:8080:84|UPPER_GRADE:3763:84
623,중앙아파트,28245,효성동,59,Z28245-작전동,7,122500000.0,2,THIN,0.29641088485300904,0.08770750837922378,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:731:59|GRADE:945:59
3512,신길자이,11560,신길동,84,Z11560-신길동,3,1080000000.0,2,THIN,0.28884083820620665,0.04251885382896914,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:2764:84|BUYER_CHOICE:3405:74
7631,고현아이파크,41370,고현동,84,Z41370-고현동,6,326500000.0,2,THIN,0.2849167930748498,0.03173329876995893,PROXY,FALSE_CHEAP,구조적 비중 78%,UPPER_GRADE:9604:84|BUYER_CHOICE:7563:84
2653,마포동원베네스트,11440,도화동,84,Z11440-공덕동,2,1200000000.0,3,OK,0.2796900156075369,0.055980861244019145,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:1169:84|UPPER_GRADE:1280:84|BUYER_CHOICE:2526:59
334,간석 이삭 아파트,28200,간석동,59,Z28177-주안동,6,192000000.0,2,THIN,0.2783075522766204,0.04236696749452727,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),UPPER_GRADE:929:59|BUYER_CHOICE:384:59
2579,홍은동원베네스트,11410,홍은동,59,Z11410-홍제동,3,583000000.0,1,THIN,0.27659334461364915,0.0968076706147772,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),UPPER_GRADE:2526:59
4656,희성연인 아파트,41113,서둔동,74,Z41113-서둔동,4,312500000.0,2,THIN,0.272975740409209,0.004142287308550747,PROXY,FALSE_CHEAP,구조적 비중 89% · Follower 무반응(Persistent Cheapness),UPPER_GRADE:3358:74|BUYER_CHOICE:4630:84
5659,비산화성파크드림,41173,비산동,84,Z41173-호계동,4,520000000.0,2,THIN,0.2714766952035913,0.0568577035048293,PROXY,FALSE_CHEAP,구조적 비중 66%,LOCAL:8080:84|UPPER_GRADE:3763:84
4505,천호삼익,11740,천호동,84,Z11740-천호동,3,919250000.0,1,THIN,0.2710167479281212,0.019604335232315556,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),BUYER_CHOICE:4490:59
3774,삼호한숲아파트,11650,방배동,59,Z11650-서초동,2,1430000000.0,3,STRONG,0.27047289504036914,0.07149500593770293,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3543:59|UPPER_GRADE:3888:59|BUYER_CHOICE:3632:59
5696,평촌영풍,41173,평촌동,59,Z41173-호계동,4,298000000.0,1,THIN,0.2702286986439992,0.0,PROXY,FALSE_CHEAP,구조적 비중 64% · 과거 전달확률 0% · Follower 무반응(Persistent Cheapness),GRADE:7966:59
4585,스타힐스3단지,41111,율전동,84,Z41111-정자동,5,410000000.0,2,THIN,0.26486880648530275,0.036483151111785225,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),UPPER_GRADE:4895:84|BUYER_CHOICE:4756:84
4354,쌍용스윗닷홈거여역1차아파트,11710,거여동,84,Z11710-가락동,2,1100000000.0,2,THIN,0.2647660179347913,0.03841086400745264,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:4168:84|UPPER_GRADE:4207:84
