no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
1158,강남구,재건축,개포주공3단지아파트 재건축정비사업 조합,개포동 138,조합해산,gaepo3,680100002007B38,11680-100002007,,,,,,20031114,,20130122,,20140522,,20150930,20160621,,20190829,
1157,강남구,재건축,개포주공2단지 주택재건축정비사업조합,개포동 140,조합해산,gaepo22,680900001276m18,11680-900001276,,,,,,,,20160514,,,,,,,,
1156,강남구,재건축,개포주공2단지 주택재건축정비사업조합,개포동 140,조합해산,gaepo2,680100002008V99,11680-100002008,,,,,,20031215,,20130624,,20140521,,20150204,20151229,,20190226,
1155,강남구,재건축,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,사업시행인가,gaepo6_7,680900000688Q62,11680-900000688,,,,20160324,,20190212,,20210122,,20241111,,,,,,
1154,강남구,재건축,개포주공5단지아파트 재건축정비사업 조합,개포동 187,관리처분인가,gaepo5,680900000683Y53,11680-900000683,,,,,,20190212,,20201201,,20231012,,20250929,,,,
1153,강남구,재건축,개포주공4단지아파트 재건축정비사업 조합,개포동 189,준공인가,gaepofour,680100002009j14,11680-100002009,,,,,,20031218,,20131121,,20151130,,20170616,,,20230228,
1152,강남구,재건축,개포 경남·우성3차·현대1차 통합 재건축정비사업,개포동 649,추진위원회승인,ruddngus,680900001390P37,11680-900001390,,,,,,20260428,,,,,,,,,,
1151,강남구,재건축,개포현대2차아파트 재건축정비사업,개포동 654,추진위원회승인,gaepohd2,680900001389E54,11680-900001389,,,,,,20260311,,,,,,,,,,
1150,강남구,소규모재건축,"개포현대2차아파트 200동,220동 소규모재건축사업조합",개포동 655,조합설립인가,hd200220,680900001464p70,11680-900001464,,,,,,,,,,,,,,,,
1149,강남구,재건축,개포시영(아) 주택재건축정비사업조합,개포동 656,조합해산,K0HnsE0P,680100002012X19,11680-100002012,,,,,,20031215,,20130809,,20140620,,20160106,20170818,,20200928,
1148,강남구,재건축,개포시영아파트 중심상가 재건축정비사업조합,개포동 656-3,이전고시,gaepoS,680900000694E30,11680-900000694,,,,,,20171222,,20180712,,20190717,,20200429,20220810,,20221004,
1147,강남구,재건축,개포우성6차아파트 재건축정비사업조합,개포동 658-1,조합설립인가,wooseong6,680900000942G32,11680-900000942,,,,,,20180531,,20240424,,,,,,,,
1146,강남구,재건축,개포1동주공아파트 주택재건축정비사업조합,개포동 660-4,착공,kvNK2YB3,680100003003y67,11680-100003003,,,,,,20030926,,20031014,,20160428,,20180406,20200602,,,
1145,강남구,재건축,논현청학아파트재건축정비사업 조합,논현동 62-3,조합설립인가,cheonghak,,,,,,,,,,,,,,,,,,
1144,강남구,재건축,논현동현아파트 재건축정비사업,논현동 105,추진위원회승인,DonghyunApt,680900001399K85,11680-900001399,,,,,,20260410,,,,,,,,,,
1143,강남구,재건축,대성연립주택재건축정비사업조합,논현동 191-4,조합설립인가,nonhyun,,,,,,,,,,,,,,,,,,
1142,강남구,재건축,대치우성1차아파트 재건축정비사업조합,대치동 63,사업시행인가,woosung1,680900000617J84,11680-900000617,,,,,,20160126,,20170117,,20220908,,,,,,
1141,강남구,재건축,대치쌍용2차아파트 주택재건축정비사업조합,대치동 65,사업시행인가,ssang2,680900000567C51,11680-900000567,,,,,,20141014,,20150702,,20170912,,,,,,
1140,강남구,재건축,대치쌍용1차아파트 주택재건축정비사업조합,대치동 66,사업시행인가,ssang1,680900000566y01,11680-900000566,,,,,,20141120,,20160106,,20181002,,,,,,
1139,강남구,재건축,은마아파트 재건축정비사업조합,대치동 316,사업시행인가,the-eunma,680100002017E89,11680-100002017,20091021,,,,,20031231,,20230926,,20260702,,,,,,
1138,강남구,재건축,"개포우성1,2차아파트 재건축정비사업",대치동 503,정비계획 수립,gaepowoosung,680900001502T86,11680-900001502,,,,,,,,,,,,,,,,
1137,강남구,재건축,대치선경아파트 재건축정비사업,대치동 506,추진위원회승인,tjsrud12,680900001467I54,11680-900001467,,,,,,,,,,,,,,,,
1136,강남구,재건축,대치미도아파트 재건축정비사업,대치동 511,추진위원회승인,mido511,680900001391Q28,11680-900001391,,,,,,20260320,,,,,,,,,,
1135,강남구,재건축,대치동구마을1지구재건축정비사업 조합,대치동 963,이전고시,A768OvYc,680100003002U62,11680-100003002,,,,,,,,20030630,,20151023,,20160627,20200714,,20230605,
1134,강남구,재건축,대치동 구마을 제3지구 재건축정비사업조합,대치동 964,준공인가,urban9,680900000542Q95,11680-900000542,,,,,,20140224,,20140902,,20150916,,20171129,20220408,,,
1133,강남구,재건축,대치제2지구 재건축정비사업조합,대치동 977,이전고시,daech2,680900000568d97,11680-900000568,,,,,,,,20030621,,20051028,,20180403,20190418,,20210917,
1132,강남구,재건축,도곡개포한신아파트 주택재건축정비사업조합,도곡동 464,관리처분인가,cCsUmJjP,680100002001v60,11680-100002001,20120918,,,,,20031114,,20171124,,20221228,,20251219,,,,
1131,강남구,재건축,개포우성4차아파트 주택재건축정비사업조합,도곡동 465,조합설립인가,gaepowoosung4,680900000948K72,11680-900000948,,,,,,20220928,,20230922,,,,,,,,
1130,강남구,재건축,도곡삼호아파트 주택재건축정비사업조합,도곡동 540,착공,dogoksamho,680900000671x92,11680-900000671,,,,,,20180110,,20180619,,20200916,,20221025,20240206,,,
1129,강남구,재건축,도곡삼익아파트 재건축정비사업 조합설립추진위원회,도곡동 869,추진위원회승인,samik869,680100002003K34,11680-100002003,,,,,,20031229,,,,,,,,,,
1128,강남구,재건축,도곡우성아파트 재건축정비사업 조합,도곡동 934-10,조합설립인가,dogokwoosung,680900001155A44,11680-900001155,,,,,,20240308,,20250331,,,,,,,,
1127,강남구,재건축,상아아파트2차 주택재건축정비사업조합,삼성동 19-4,조합해산,PJ9HOVHL,680100002005H33,11680-100002005,,,,,,20031230,,20160315,,,,20170825,20180724,,20210917,
1126,강남구,재건축,홍실아파트 주택재건축정비사업조합,삼성동 79,준공인가,hongsilapt,680100002011A12,11680-100002011,,,,,,,,20020311,,20170818,,20180404,20211028,,,
1125,강남구,재건축,압구정아파트지구 특별계획구역③ 재건축정비사업 조합,압구정동 369-1,조합설립인가,apgujeong3,680900000675S91,11680-900000675,,,,,,20180912,,20210419,,,,,,,,
1124,강남구,재건축,압구정아파트지구 특별계획구역① 재건축사업,압구정동 414,추진위원회승인,apgujeong1,680900000761a61,11680-900000761,,,,,,20210721,,,,,,,,,,
1123,강남구,재건축,압구정아파트지구 특별계획구역② 재건축정비사업조합,압구정동 434,조합설립인가,apgujeong2,680900000762A92,11680-900000762,,,,,,20201106,,20210412,,,,,,,,
1122,강남구,재건축,압구정아파트지구 특별계획구역4,압구정동 481,조합설립인가,apgujeong4,680900000684g10,11680-900000684,,,,,,20171101,,20210210,,,,,,,,
1121,강남구,재건축,압구정아파트지구 특별계획구역5 재건축정비사업조합,압구정동 490,조합설립인가,apgujeong5,680900000670W75,11680-900000670,,,,,,20170819,,20210222,,,,,,,,
1120,강남구,재건축,압구정한양7차아파트 재건축정비사업조합,압구정동 528,조합설립인가,hanyang7,680100003000s45,11680-100003000,,,,,,,,20020930,,,,,,,,
1119,강남구,재건축,개나리6차(아) 재건축정비사업 조합,역삼동 711-1,조합해산,gaenari6,680100002024x94,11680-100002024,,,,,,20031103,,20100526,,20111201,,,20130713,,,
1118,강남구,재건축,개나리4차아파트주택재건축정비사업 조합,역삼동 712,이전고시,ijm7459,680100002023k46,11680-100002023,,,,,,,,20021118,,20060711,,20061113,20190219,,20220428,
1117,강남구,재건축,"역삼동(758,은하수,760) 주택재건축정비사업조합",역삼동 758,분양,ysdong758,680900000131P51,11680-900000131,,,,,,20100708,,20181115,,20210602,,20221031,20250415,,,
1116,강남구,재건축,개포우성7차아파트 재건축정비사업조합,일원동 615,조합설립인가,wooseong7,680900000946Z88,11680-900000946,,,,,,20221111,,20240202,,,,,,,,
1115,강남구,재건축,일원개포한신아파트 재건축정비사업조합,일원동 615-1,관리처분인가,ilwongaepohs,680900000669U85,11680-900000669,,,,,,20180125,,20181105,,20210806,,20231108,,,,
1114,강남구,재건축,한솔아파트 재건축정비사업,일원동 731,추진위원회승인,hansolapt,680900001474P15,11680-900001474,,,,,,20260722,,,,,,,,,,
1113,강남구,재건축,상록수아파트 재건축정비사업,일원동 734,추진위원회승인,sangapt,680900001484F38,11680-900001484,,,,,,20260828,,,,,,,,,,
1112,강남구,재건축,가람아파트 재건축정비사업,일원동 735,추진위원회승인,garamapt,680900001383O63,11680-900001383,,,,,,20260209,,,,,,,,,,
1111,강남구,재건축,청담삼익아파트 재건축정비사업 조합,청담동 134-18,준공인가,cheongdam,680100002026Y61,11680-100002026,,,,,,20030919,,20030922,,20151203,,20171113,20211201,,20251031,
1110,강남구,소규모재건축,청담현대1차아파트 소규모재건축정비사업,청담동 75-1,조합설립인가,dam877,680900001449L50,11680-900001449,,,,,,,,20250523,,,,,,,,
1109,강동구,재건축,고덕주공2단지아파트 주택재건축정비사업조합,고덕동 212,조합청산,in814VyA,740100001040K52,11740-100001040,,,,,,20051117,,20091126,,20111205,,20141027,20160907,,20190927,
1108,강동구,재개발(주택정비형),고덕강일1역세권 재개발사업,고덕동 294,정비계획 수립,gokang1,740900001334L26,11740-900001334,,,,,,,,,,,,,,,,
1107,강동구,소규모재건축,고덕대우아파트 소규모재건축사업,고덕동 470,조합설립인가,gd1207,740900001289O31,11740-900001289,,,,,,,,20250212,,,,,,,,
1106,강동구,재건축,고덕시영아파트 주택재건축정비사업조합,고덕동 670,조합해산,jM4s43od,740100001047C07,11740-100001047,,,,,,20031029,,20091008,,,,,20131231,,20161229,
1105,강동구,재건축,길동신동아3차아파트 주택재건축정비사업조합,길동 43,조합청산,JGog1o6Q,740100001050V81,11740-100001050,,,,,,20071227,,20150317,,20160218,,20170210,20171103,,20200414,
1104,강동구,재건축,삼익파크아파트 재건축사업조합,길동 54,관리처분인가,samikpark,740900000751g23,11740-900000751,,,,,,20200827,,20210114,,20250324,,20260311,,,,
1103,강동구,재건축,"길동신동아1,2차아파트 주택재건축정비사업조합",길동 160,준공인가,GcA7n032,740100001049T99,11740-100001049,,,,,,20060414,,20100527,,20120831,,20171026,20240611,,20240627,
1102,강동구,재건축,길동진흥아파트 주택재건축정비사업 조합,길동 298-1,조합해산,rPjHkSQA,,,,,,,,,,,,,,,,,,
1101,강동구,소규모재건축,길동한전우성아파트 소규모주택정비사업조합,길동 332,조합설립인가,hangeonwoosung,740900000764O90,11740-900000764,,,,,,,,20200904,,,,,,,,
1100,강동구,재건축,둔촌동 삼익빌라 주택재건축정비사업조합,둔촌동 85-2,조합청산,samik82,740900000643q95,11740-900000643,,,,,,20031125,,20050223,,20050509,,20180105,20201231,,20230607,
1099,강동구,재건축,둔촌주공아파트 주택재건축정비사업조합,둔촌동 172,준공인가,WRjmSk3r,740100000049L72,11740-100000049,,,,,,20031027,,20091228,,20150730,,20170502,20191203,,20241125,
1098,강동구,재건축,현대연립 주택재건축정비사업조합,둔촌동 513-1,이전고시,mp58WDsA,,,,,,,,,,,,,,,,,,
1097,강동구,재건축,삼익그린2차 주택재건축정비사업 조합,명일동 15,조합설립인가,samikgreen2,740900000739M03,11740-900000739,,,,,,20191213,,20210705,,,,,,,,
1096,강동구,소규모재건축,삼익그린11차아파트 소규모재건축사업 조합,명일동 38,조합설립인가,samic11a,740900001522t20,11740-900001522,,,,,,,,20260526,,,,,,,,
1095,강동구,재건축,명일우성아파트 재건축정비사업,명일동 42,정비계획 수립,myeongilwoosung,740900001382g16,11740-900001382,,,,,,,,,,,,,,,,
1094,강동구,재건축,명일동 신동아아파트 재건축정비사업,명일동 44,추진위원회승인,myeongilshindonga,740900001176P33,11740-900001176,,,,,,20260415,,,,,,,,,,
1093,강동구,재건축,명일 한양아파트 재건축정비사업,명일동 54,추진위원회승인,myeongil-hanyang1,740900001338G48,11740-900001338,,,,,,20260624,,,,,,,,,,
1092,강동구,재건축,고덕현대아파트 재건축정비사업,명일동 56,추진위원회승인,godeokhyundai,740900001141V65,11740-900001141,,,,,,20260417,,,,,,,,,,
1091,강동구,재건축,고덕주공9단지아파트 재건축정비사업,명일동 257,추진위원회승인,goduknine,740900001246Z15,11740-900001246,,,,,,,,,,,,,,,,
1090,강동구,가로주택정비,현대하이츠빌라가로주택정비사업조합,명일동 263-2,착공,cool0914,740900001139q86,11740-900001139,,,,,,,,,,,,,,,,
1089,강동구,재건축,삼익맨숀아파트 재건축정비사업조합,명일동 270,조합설립인가,samikmansion,740900000752b58,11740-900000752,,,,,,20200827,,20210712,,,,,,,,
1088,강동구,재건축,삼익그린맨션아파트 주택재건축정비사업조합,명일동 309-1,조합청산,QUYEw8ZX,740100001052I54,11740-100001052,,,,,,20060630,,20100422,,,,20150116,20160630,,20190624,
1087,강동구,재건축,고덕주공3단지아파트 주택재건축정비사업조합,상일동 121,조합청산,JMpQDO2B,740100001041k29,11740-100001041,20030214,,,20060711,,20031114,,20100219,,20140414,,20151112,20170427,,20200226,
1086,강동구,재건축,고덕주공6단지아파트 주택재건축정비사업조합,상일동 124,조합해산,zRl8AA6L,740100001045J37,11740-100001045,,,,,,20031106,,20100303,,20121228,,20170512,20180608,,20210107,
1085,강동구,재건축,고덕주공5단지아파트 주택재건축정비사업조합,상일동 131,조합청산,w0EL5P2F,740100001043g19,11740-100001043,20090810,,,20090805,,20071227,,20100430,,20140624,,20160725,20170620,,20191230,
1084,강동구,재건축,고덕주공4단지아파트 주택재건축정비사업조합 청산위원회,상일동 134,조합해산,goduk4apt,740100001042b49,11740-100001042,,,,20060502,,20031118,,20091012,,,,20141208,20150803,,20171129,
1083,강동구,재건축,상일동 빌라단지 통합 재건축,상일동 174,추진위원회승인,sangilvilla,740900001417L10,11740-900001417,,,,,,,,,,,,,,,,
1082,강동구,재건축,고덕주공7단지아파트 주택재건축정비사업조합,상일동 187,조합청산,jQ9IH7J2,740100001046w80,11740-100001046,20090319,,,,,20031027,,20100422,,20110928,,,20170418,,20191230,
1081,강동구,재건축,성내 현대아파트 재건축 정비사업,성내동 30-2,안전진단,snhdapt,740900001409m23,11740-900001409,,,,,,,,,,,,,,,,
1080,강동구,소규모재건축,광신장미 소규모재건축사업,성내동 120-85,조합설립인가,gwangsinzangmi,740900001545Q46,11740-900001545,,,,,,,,,,,,,,,,
1079,강동구,재개발(도시정비형),강동역세권2구역 도시정비형 재개발사업,성내동 150-7,정비계획 수립,gangdong2-150-7,740900001540S47,11740-900001540,,,,,,,,,,,,,,,,
1078,강동구,재개발(도시정비형),강동역세권(1구역) SHIFT 장기전세주택,성내동 174-13,정비구역지정,sn174-13,740900001521v20,11740-900001521,,,,,,,,,,,,,,,,
1077,강동구,재건축,목화연립 주택재건축정비사업조합,성내동 209,사업시행인가,HK58c6H3,,,,,,,,,,,,,,,,,,
1076,강동구,가로주택정비,성내동 288-1번지 일원 가로주택정비사업,성내동 288-1,조합설립인가,seongnae,740900000928u78,11740-900000928,,,,,,,,20220316,,,,,,,,
1075,강동구,재건축,선화연립 주택재건축정비사업조합,성내동 405-9,이전고시,H3m945wk,,,,,,,,,,,,,,,,,,
1074,강동구,재건축,성내미주아파트 주택재건축정비사업조합,성내동 547-1,이전고시,u1OG3XV9,,,,,,,,,,,,,,,,,,
1073,강동구,재건축,강동2단지아파트 재건축정비사업조합,암사동 413,이전고시,gangdong2,740900001457f81,11740-900001457,,,,,,,,,,,,,,,,
1072,강동구,지역주택,(가칭)암사한강지역주택조합 추진위원회,암사동 458,,amsahangang,740900001481H55,11740-900001481,,,,,,,,,,,,,,,,
1071,강동구,가로주택정비,암사동 495번지 일대 가로주택정비사업,암사동 495,조합설립인가,amsa495,740900000961C41,11740-900000961,,,,,,,,,,,,,,,,
1070,강동구,재건축,천호우성아파트 주택재건축정비사업 조합,천호동 19-1,관리처분인가,cheonhowoosung,740900000763V03,11740-900000763,,,,,,20201019,,20210210,,20240604,,20250911,,,,
1069,강동구,재건축,풍전연립 주택재건축정비사업조합,천호동 28-32,이전고시,c6y8omyO,,,,,,,,,,,,,,,,,,
1068,강동구,가로주택정비,동도연립 가로주택정비사업조합,천호동 39-4,조합해산,dongdo,740900000618Y87,11740-900000618,,,,,,,,20150908,,,,,,,,
1067,강동구,가로주택정비,천호동 107-33일대 가로주택정비사업,천호동 107-33,조합설립인가,chunho1garo,740900000974o98,11740-900000974,,,,,,,,20220316,,,,,,,,
1066,강동구,가로주택정비,천호동110번지 일대 가로주택정비사업,천호동 110,조합설립인가,cheonho110,740900001375z47,11740-900001375,,,,,,,,20251110,,,,,,,,
1065,강동구,가로주택정비,천호동145-66 일원 가로주택정비사업조합,천호동 145-66,조합설립인가,cheonho14566,740900001236V22,11740-900001236,,,,,,,,20240827,,,,,,,,
1064,강동구,재개발(도시정비형),천호8재정비촉진구역 도시정비형 재개발사업 조합,천호동 166-4,조합설립인가,chunho8,740900000918K51,11740-900000918,,,,,,,,20240116,,,,,,,,
1063,강동구,재개발(주택정비형),천호동 214-19번지 일대 재개발정비사업(천호 3-1구역),천호동 214-19,추진위원회승인,cheonho31,740900001168G14,11740-900001168,,,,,,20260513,,,,,,,,,,
1062,강동구,가로주택정비,천호동 221번지 일대 가로주택정비사업,천호동 221,조합설립인가,four221,740900001112T83,11740-900001112,,,,,,,,20230705,,,,,,,,
1061,강동구,가로주택정비,천호동 225-16번지 일원 가로주택정비사업,천호동 225-16,조합설립인가,CHD22516,740900001280i62,11740-900001280,,,,,,,,20250102,,,,,,,,
1060,강동구,가로주택정비,천호동 337-30번지 일대 가로주택정비사업,천호동 337-30,조합설립인가,cheonho337,740900001028y97,11740-900001028,,,,,,,,,,,,,,,,
1059,강동구,재개발(주택정비형),천호동 397-419번지 일대 주택정비형재개발사업조합,천호동 397-419,조합설립인가,cheonho397-419,740900000983Y54,11740-900000983,,,,,,20230407,,20240426,,,,,,,,
1058,강동구,재개발(도시정비형),천호4촉진구역 도시환경정비사업 조합,천호동 410-100,준공인가,PARKJU,740900000149T96,11740-900000149,,,,,,20120210,,20130411,,20170222,,20190731,20211231,,20251128,
1057,강동구,재건축,천호3 주택재건축정비사업조합,천호동 423-76,분양,cheonho3,740900000167p85,11740-900000167,,,,,,20140512,,20160121,,20180720,,20201207,20260731,,20260122,
1056,강동구,재개발(도시정비형),천호1 도시환경정비사업조합,천호동 423-200,준공인가,chunho1,740900000035V43,11740-900000035,,,,,,20060726,,20120921,,20150318,,20190124,20200810,,20241004,
1055,강동구,재건축,천호2구역 주택재건축정비사업조합,천호동 437-5,조합해산,chunho2,740100000048Y02,11740-100000048,,,,20111020,,20060221,,20101221,,20131015,,20171227,20191230,,20220729,
1054,강동구,재개발(주택정비형),천호동 461-31번지 일대 재개발정비사업(천호 A1-2),천호동 461-31,조합설립인가,cheonhoA1-2,740900001027A23,11740-900001027,,,,,,,,20250915,,,,,,,,
1053,강동구,재개발(주택정비형),천호 A1-1구역 공공재개발 정비사업 주민대표회의,천호동 467-61,조합설립인가,cheonho,740900001290H80,11740-900001290,,,,,,,,20250213,,,,,,,,
1052,강동구,재개발(주택정비형),천호동 532-2번지 재개발사업,천호동 532-2,조합설립인가,cheonho532-2,740900001152L60,11740-900001152,,,,,,20240221,,20241202,,,,,,,,
1051,강북구,재개발(주택정비형),미아 제4구역 주택재개발정비사업조합,미아동 1-1,조합해산,XNX3q5d0,305100005003W80,11305-100005003,,,,,,20041220,,20090929,,,,20120710,20140922,,20170227,
1050,강북구,재건축,미아동 3-111 일대 주택재건축정비사업조합,미아동 3-111,조합해산,llllll,305900000527m69,11305-900000527,,,,,,20090219,,20150115,,20160201,,20180327,20190927,,,
1049,강북구,재개발(주택정비형),미아제16구역 주택재개발사업 조합설립추진위원회,미아동 6,추진위원회승인,YFST7396,,,,,,,,,,,,,,,,,,
1048,강북구,재건축,미아제4-1구역 주택재건축정비사업 조합,미아동 8-373,조합설립인가,HFQZu12D,305900000024u85,11305-900000024,,,,,,20060427,,20200619,,,,,,,,
1047,강북구,재개발(도시정비형),미아중심재정비촉진지구 강북2재정비촉진구역 도시환경정비사업조합,미아동 42-8,조합설립인가,gangbuk2,,,,,,,,,,,,,,,,,,
1046,강북구,재개발(도시정비형),미아중심재정비촉진지구 강북3 재정비촉진구역,미아동 45-32,관리처분인가,gangbuk,305900001002V10,11305-900001002,,,,,,,,,,20241018,,20260331,,,,
1045,강북구,재개발(도시정비형),강북3구역 도시환경정비사업 조합설립추진위원회,미아동 45-32,추진위원회승인,gangbuk3,,,,,,,,,,,,,,,,,,
1044,강북구,재개발(도시정비형),강북7구역(예정) 도시정비형 재개발사업,미아동 60-5,정비계획 수립,gangbukseven,305900001376f35,11305-900001376,,,,,,,,,,,,,,,,
1043,강북구,재개발(도시정비형),강북5구역 도시환경정비사업 조합설립추진위원회,미아동 61-79,추진위원회승인,gangbuk5,,,,,,,,,,,,,,,,,,
1042,강북구,재개발(도시정비형),강북5구역 공공재개발사업,미아동 61-79,조합설립인가,gangbuk05,305900000886t49,11305-900000886,,,,,,,,20211119,,,,,,,,
1041,강북구,재개발(주택정비형),미아동 75번지 일대 주택정비형 재개발사업,미아동 75,정비계획 수립,mia_75,305900001423H00,11305-900001423,,,,,,,,,,,,,,,,
1040,강북구,가로주택정비,미아2구역 가로주택정비사업조합,미아동 90-45,조합설립인가,mia22scj,305900000952i40,11305-900000952,,,,,,,,20220411,,,,,,,,
1039,강북구,재개발(도시정비형),미아역세권 장기전세주택 도시정비형 재개발사업,미아동 121-1,정비계획 수립,mia_station,305900001385d79,11305-900001385,,,,,,,,,,,,,,,,
1038,강북구,재개발(도시정비형),미아역세권 장기전세주택 도시정비형 재개발사업,미아동 121-1,정비계획 수립,miastation,305900001384E80,11305-900001384,,,,,,,,,,,,,,,,
1037,강북구,재개발(주택정비형),미아동 130번지 일대 주택정비형 재개발정비사업,미아동 130,추진위원회승인,mia130,305900001515J13,11305-900001515,,,,,,20260623,,,,,,,,,,
1036,강북구,재건축,미아제9-2구역 주택재건축정비사업 조합,미아동 137-72,사업시행인가,sn6L45v9,305900000026j85,11305-900000026,,,,,,20060427,,20161229,,20230830,,,,,,
1035,강북구,재개발(주택정비형),미아동 258번지 일대 주택정비형 재개발사업,미아동 258,추진위원회승인,mia258,305900001243V01,11305-900001243,,,,,,20260126,,,,,,,,,,
1034,강북구,재개발(주택정비형),미아동 345-1번지 일대 주택정비형 재개발사업,미아동 345-1,정비계획 수립,mia345-1,305900001396F63,11305-900001396,,,,,,,,,,,,,,,,
1033,강북구,재개발(주택정비형),미아2재정비촉진구역 주택재개발정비사업 조합,미아동 403,조합설립인가,mia2johap,305900000028n03,11305-900000028,,,,,,20040906,,20160531,,,,,,,,
1032,강북구,재개발(주택정비형),미아 제10-1구역 주택재개발정비사업조합,미아동 476,이전고시,mia101,,,,,,,,,,,,,,,,,,
1031,강북구,재개발(도시정비형),삼양사거리역세권 장기전세주택 도시정비형 재개발구역,미아동 754-120,조합설립인가,samyangsageori,305900001306d82,11305-900001306,,,,,,,,,,,,,,,,
1030,강북구,가로주택정비,미아3구역 가로주택정비사업조합,미아동 767-51,조합설립인가,mia3mia3,305900001014c27,11305-900001014,,,,,,,,20220926,,,,,,,,
1029,강북구,재개발(주택정비형),미아제11구역 재개발정비사업조합,미아동 791-108,조합설립인가,eG05u80g,305100005001D29,11305-100005001,,,,,,20060712,,20220516,,,,,,,,
1028,강북구,재개발(주택정비형),미아제3구역 주택재개발정비사업조합,미아동 791-364,분양,S6K6teW8,305900000027q35,11305-900000027,,,,,,20050819,,20120322,,20131220,,20180104,,,20240829,
1027,강북구,재개발(주택정비형),미아동 791-2882번지 일대 주택정비형 재개발사업,미아동 791-2882,추진위원회승인,mia791,305900001150C66,11305-900001150,,,,20240628,,20260504,,,,,,,,,,
1026,강북구,가로주택정비,미아1구역 가로주택정비사업 조합,미아동 833-2,조합설립인가,mia0429,305900000807V40,11305-900000807,,,,,,,,20210602,,,,,,,,
1025,강북구,재건축,미아4재정비촉진구역 주택재건축정비사업조합,미아동 1261-376,관리처분인가,rchEsG60,305900000025i52,11305-900000025,,,,,,20060427,,20160212,,20210312,,20231130,,,,
1024,강북구,재개발(주택정비형),미아3재정비촉진구역 주택재개발정비사업조합,미아동 439,관리처분인가,miachrwls,305900000117k26,11305-900000117,,,,,,20100519,,20150113,,20210716,,20240603,,,,
1023,강북구,재개발(주택정비형),번동 148번지 일대 주택정비형 재개발사업,번동 148,추진위원회승인,beondong148,305900001242J37,11305-900001242,,,,,,20251216,,,,,,,,,,
1022,강북구,가로주택정비,번동3-1구역 가로주택정비사업 조합,번동 413-44,조합설립인가,bun41344,305900001222g82,11305-900001222,,,,,,,,20240321,,,,,,,,
1021,강북구,가로주택정비,번동 5구역 가로주택 정비사업 조합,번동 427-63,사업시행인가,bun42763,305900000787k48,11305-900000787,,,,,,,,20201230,,20230731,,,,,,
1020,강북구,가로주택정비,번동 4구역 가로주택 정비사업 조합,번동 428-4,사업시행인가,bun4284,305900000788K18,11305-900000788,,,,,,,,20201201,,20230731,,,,,,
1019,강북구,가로주택정비,번동2구역 가로주택정비사업조합,번동 429-97,사업시행인가,bun42997,305900000768h78,11305-900000768,,,,,,,,20200414,,20230731,,,,,,
1018,강북구,가로주택정비,번동1구역 가로주택정비사업조합,번동 429-114,사업시행인가,bun429114,305900000750u59,11305-900000750,,,,,,,,20190920,,20230731,,,,,,
1017,강북구,가로주택정비,번동 3구역 가로주택 정비사업 조합,번동 430-27,사업시행인가,bun43027,305900000786L24,11305-900000786,,,,,,,,20201116,,20230731,,,,,,
1016,강북구,재개발(주택정비형),번동 441-3번지 일대 주택재개발정비사업,번동 441-3,추진위원회승인,bundong4413,305900001145y78,11305-900001145,,,,,,20260127,,,,,,,,,,
1015,강북구,가로주택정비,번동3-2구역 가로주택정비사업,번동 443-46,조합설립인가,bun44346,305900001244e69,11305-900001244,,,,,,,,20240705,,,,,,,,
1014,강북구,가로주택정비,번동2-1구역 가로주택정비사업 조합,번동 454-61,조합설립인가,bun45461,305900000911F66,11305-900000911,,,,,,,,20210715,,,,,,,,
1013,강북구,가로주택정비,번동2-2구역 가로주택정비사업,번동 458-2,조합설립인가,bun45802,305900000966j38,11305-900000966,,,,,,,,20220616,,,,,,,,
1012,강북구,가로주택정비,번동2-3구역 가로주택정비사업,번동 471-118,조합설립인가,beondong10,305900001088e64,11305-900001088,,,,,,,,20230328,,,,,,,,
1011,강북구,재개발(도시정비형),삼양역세권 장기전세주택 건립사업,수유동 58-9,정비계획 수립,samyangyeok,305900001386z88,11305-900001386,,,,,,,,,,,,,,,,
1010,강북구,재건축,수유제4-1구역 주택재건축정비사업 조합설립추진위원회,수유동 170-2,추진위원회승인,suyou401,,,,,,,,,,,,,,,,,,
1009,강북구,재건축,수유제4-2구역 주택재건축정비사업 조합설립추진위원회,수유동 291-224,추진위원회승인,YQmcxT8c,,,,,,,,,,,,,,,,,,
1008,강북구,소규모재건축,보광연립소규모재건축사업조합,수유동 360-1,사업시행인가,bokwang,305900000736D78,11305-900000736,20110927,,,,,,,20180704,,20230404,,,,,,
1007,강북구,재건축,수유제1-1구역 주택재건축정비사업 조합설립추진위원회,수유동 472-81,추진위원회승인,gy6Ylg8x,,,,,,,,,,,,,,,,,,
1006,강북구,소규모재건축,삼흥연립주택 재건축정비사업조합,수유동 486-2,사업시행인가,samhung,305900000738h68,11305-900000738,,,,,,20130329,,20140901,,20181008,,,,,,
1005,강서구,지역주택,(가칭)공항동지역주택조합,공항동 14,,gonghangdong,500900000849y55,11500-900000849,,,,,,,,,,,,,,,,
