no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
852,금천구,재개발(주택정비형),독산시흥구역,시흥동 871,조합설립인가,doksansiheung,545900001313q49,11545-900001313,,,,,,,,,,,,,,,,
851,금천구,가로주택정비,시흥5동1구역 919번지일원 가로주택정비사업,시흥동 919,조합설립인가,Siheung5dong1,545900001113T86,11545-900001113,,,,,,,,20230222,,,,,,,,
850,금천구,가로주택정비,시흥동 920번지 일원 가로주택정비사업,시흥동 920-13,조합설립인가,siheung-dong920,545900001007T34,11545-900001007,,,,,,,,,,,,,,,,
849,금천구,가로주택정비,시흥동 923번지일대 가로주택정비사업,시흥동 923,조합설립인가,kkw5953,545900001119m21,11545-900001119,,,,,,,,,,,,,,,,
848,금천구,가로주택정비,시흥동 933번지 일대 가로주택정비사업,시흥동 933,조합설립인가,sihung933,545900001248G45,11545-900001248,,,,,,,,20241008,,,,,,,,
847,금천구,가로주택정비,시흥동 934번지 일대 가로주택정비사업,시흥동 934,조합설립인가,home934,545900001127g66,11545-900001127,,,,,,,,,,,,,,,,
846,금천구,재건축,현대빌라 재건축정비사업,시흥동 982,추진위원회승인,hyundaivilla,545900001476j14,11545-900001476,20231031,,,,,20260423,,,,,,,,,,
845,금천구,소규모재건축,대도연립 소규모재건축사업조합,시흥동 983-13,조합설립인가,yjh104,545100002005C04,11545-100002005,20100918,,,,,20051201,,20181219,,,,,,,,
844,금천구,재건축,시흥동 남서울 럭키아파트 재건축 예정구역,시흥동 1002-2,정비계획 수립,wzy7Gg52,,,,,,,,,,,,,,,,,,
843,금천구,소규모재건축,석수빌라 소규모 재건축 사업 조합,시흥동 1004,사업시행인가,suksoo1004,545900000770l59,11545-900000770,,,,,,,,20181219,,,,,,,,
842,노원구,재건축,공릉1(태릉현대) 주택재건축정비사업조합,공릉동 230,조합해산,g4cO1SNx,350100002001Z02,11350-100002001,,,,,,20031223,,20070131,,20081009,,20170526,20190304,,20211119,
841,노원구,소규모재건축,대명아파트 소규모재건축정비사업위원회,공릉동 270-71,착공,dmapt270,350900000744E48,11350-900000744,,,,,,,,20191214,,20211221,,20211221,20240610,,,
840,노원구,재개발(주택정비형),상계3재정비촉진구역 공공재개발정비사업,상계동 71-183,조합설립인가,sanggye3,350900001304d58,11350-900001304,,,,,,,,20250425,,,,,,,,
839,노원구,재개발(주택정비형),상계4재정비촉진구역 주택재개발정비사업 조합,상계동 85-33,조합해산,sangkye4,350100002013C68,11350-100002013,,,,,,20081008,,20090122,,20140501,,20160412,20170712,,20210222,
838,노원구,재개발(주택정비형),상계6재정비촉진구역 주택재개발정비사업 조합,상계동 95-3,조합청산,sanggye6,350100002018w87,11350-100002018,,,,,,20081121,,20090605,,20141106,,,20200421,,20230628,
837,노원구,재개발(주택정비형),상계동 154-3 일대 주택정비형 재개발사업,상계동 154-3,조합설립인가,sanggye,350900001489h90,11350-900001489,,,,,,,,,,,,,,,,
836,노원구,가로주택정비,오성빌라 가로주택정비사업 조합,상계동 322-8,사업시행인가,osunggaro,350900001116K18,11350-900001116,,,,,,,,20210712,,,,,,,,
835,노원구,재건축,상계보람아파트 재건축정비사업,상계동 639,추진위원회승인,sgboramapt,350900001554p23,11350-900001554,,,,,,,,,,,,,,,,
834,노원구,재건축,상계주공8단지 주택재건축정비사업 조합,상계동 677,조합해산,DrWK0XGO,350100002006m96,11350-100002006,,,,,,20031230,,20141107,,20160114,,20170331,20180525,,20201125,
833,노원구,재건축,상계주공6단지아파트 재건축정비사업,상계동 720,추진위원회승인,sanggye6apt,350900001503v74,11350-900001503,,,,,,20260320,,,,,,,,,,
832,노원구,재건축,상계주공5단지 재건축정비사업,상계동 721,사업시행인가,sanggye5,350900000767I00,11350-900000767,,,,,,,,,,20240829,,,,,,
831,노원구,재개발(주택정비형),상계5재정비촉진구역 주택재개발정비사업 조합,상계동 109-43,조합설립인가,H4WYv7zZ,350100002017D33,11350-100002017,,,,,,20081118,,20081118,,,,,,,,
830,노원구,재개발(주택정비형),상계2재정비촉진구역 주택재개발정비사업 조합,상계동 자력2구역 17블럭 1롯트,사업시행인가,G9u1j5Ss,350100002015U11,11350-100002015,,,,,,20091130,,20100507,,20210901,,,,,,
829,노원구,재개발(주택정비형),상계1재정비촉진구역 주택재개발정비사업 조합,상계동 자력6구역 8블럭 9롯트,관리처분인가,sg1apt,350100002014N57,11350-100002014,,,,,,20081229,,20130823,,20201019,,20251223,,,,
828,노원구,재건축,월계삼호4차아파트 재건축사업,월계동 12,추진위원회승인,samho4apt,350900001511P67,11350-900001511,,,,,,20260612,,,,,,,,,,
827,노원구,재건축,월계시영고층아파트 재건축사업,월계동 13,추진위원회승인,mms0612,350900001513N47,11350-900001513,,,,,,20260612,,,,,,,,,,
826,노원구,재건축,월계동신아파트주택재건축정비사업조합,월계동 436,관리처분인가,dongshinapt,350100002007V17,11350-100002007,,,,,,20061204,,20170810,,20210614,,20230906,,,,
825,노원구,재건축,월계동주택재건축정비사업조합,월계동 487-17,착공,dnjf2233,350100002005B49,11350-100002005,,,,,,20060404,,20060612,,20060911,,20070808,20260219,,,
824,노원구,재건축,월계3(벼루마을) 주택재건축정비사업조합,월계동 531,조합청산,YyFQDr1L,,,,,,,,,,,,,,,,,,
823,노원구,재건축,월계2(인덕마을) 주택재건축정비사업조합,월계동 633-31,조합해산,KuIRZHu0,350100002002O32,11350-100002002,,,,,,20060602,,20080808,,20110819,,,20170412,,20191107,
822,노원구,재개발(주택정비형),월계제4구역 주택재개발정비사업조합,월계동 672,조합청산,R60TOrwV,350900000019w69,11350-900000019,,,,,,20040309,,20100204,,20120613,,20140619,20150617,,20170228,
821,노원구,재건축,중계그린아파트 재건축사업,중계동 502-1,추진위원회승인,jggreen,350900001410n14,11350-900001410,,,,,,20260520,,,,,,,,,,
820,노원구,재건축,하계한신동성아파트 재건축사업,하계동 256-5,정비계획 수립,hansindsapt,350900001524H85,11350-900001524,,,,,,,,,,,,,,,,
819,노원구,재건축,하계장미아파트 재건축사업,하계동 273,추진위원회승인,hgjangmi,350900001424e95,11350-900001424,,,,,,20260529,,,,,,,,,,
818,도봉구,재건축,삼환도봉아파트 재건축사업,도봉동 87,조합설립인가,samhwandobong,320900001450v84,11320-900001450,,,,,,,,,,,,,,,,
