complex_id,band,name,lawd_cd,price_now,pred_log5y,base_factor,bear_factor,bull_factor,market_scenario_log,tier,emd_lead_months,market_scenario_note,dist_center_km,model,status
5654,59,평촌래미안푸르지오아파트,41173,1008400000,0.0179,1.1676,1.0384,1.3594,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.56,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5654,84,평촌래미안푸르지오아파트,41173,1252700000,0.0158,1.1654,1.0364,1.3578,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.56,D-jm-m3|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
5732,59,평촌어바인퍼스트,41173,968000000,-0.0257,1.1178,0.9941,1.3014,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.04,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5732,74,평촌어바인퍼스트,41173,1045000000,-0.0574,1.083,0.9631,1.2608,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.04,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5732,84,평촌어바인퍼스트,41173,1158200000,0.0033,1.1507,1.0233,1.3396,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.04,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5649,59,평촌엘프라우드아파트,41173,994000000,0.0588,1.2122,1.0739,1.4261,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",3.71,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
5727,59,평촌트리지아 아파트,41173,999000000,0.0398,1.1894,1.0537,1.3993,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.67,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
5727,74,평촌트리지아 아파트,41173,1140000000,0.0427,1.1929,1.0567,1.4033,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.67,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
5727,84,평촌트리지아 아파트,41173,1256400000,0.0432,1.1934,1.0572,1.404,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.67,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6281,59,평택센트럴자이3단지,41220,328500000,-0.2069,0.9325,0.8293,1.0856,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.05,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6281,74,평택센트럴자이3단지,41220,390000000,-0.235,0.9067,0.8064,1.0556,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.05,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
