complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
3377,여의도광장,11560,영등포구,광장아파트 38-1 재건축정비사업조합,재건축,조합설립인가,여의도동 38-1,79.2
3372,여의도장미,11560,영등포구,장미아파트 재건축정비사업,재건축,조합설립인가,여의도동 40,37.0
3384,여의도화랑,11560,영등포구,여의도화랑아파트 소규모재건축사업,소규모재건축,조합설립인가,여의도동 40-4,38.4
3376,여의도대교,11560,영등포구,여의도 대교아파트 재건축정비사업,재건축,관리처분인가,여의도동 41,69.2
3386,여의도한양,11560,영등포구,여의도 한양아파트 재건축정비사업,재건축,사업시행인가,여의도동 42,93.1
3389,여의도시범아파트,11560,영등포구,75. 여의도 시범아파트주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,여의도동 50,126.5
3389,여의도시범아파트,11560,영등포구,여의도시범아파트주택재건축정비사업(신탁방식-한국자산신탁),재건축,조합설립인가,여의도동 50,126.5
3388,여의도삼익,11560,영등포구,여의도 삼익아파트 재건축정비사업,재건축,조합설립인가,여의도동 51,43.9
3390,여의도은하,11560,영등포구,여의도 은하아파트 재건축정비사업,재건축,조합설립인가,여의도동 52,58.1
3391,여의도진주,11560,영등포구,여의도 진주아파트 재건축정비사업,재건축,조합설립인가,여의도동 54,136.5
1233,풍전아파트,11170,용산구,풍전아파트소규모재건축정비사업조합,소규모재건축,조합설립인가,원효로4가 109-4,12.6
1234,원효산호,11170,용산구,산호아파트 주택재건축 정비사업조합,재건축,관리처분인가,원효로4가 118-16,57.9
1286,현대한강,11170,용산구,강변강서아파트 주택재건축 정비사업조합,재건축,조합설립인가,이촌동 193-3,116.7
1268,동원베네스트 아파트,11170,용산구,이촌동제1구역 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,이촌동 203-75,130.1
1285,점보,11170,용산구,점보아파트 리모델링주택조합,리모델링,,이촌동 300-10,3.3
1272,이촌왕궁,11170,용산구,왕궁아파트 주택재건축 정비사업조합,재건축,조합설립인가,이촌동 300-11,66.1
1273,한강삼익,11170,용산구,한강맨션아파트 주택재건축 조합,재건축,관리처분인가,이촌동 300-23,107.2
1273,한강삼익,11170,용산구,한강삼익아파트 주택재건축정비사업 조합,재건축,사업시행인가,이촌동 300-301,54.1
1289,청화아파트,11170,용산구,청화아파트주택재건축정비사업조합설립추진위원회,재건축,추진위원회승인,이태원동 22-2,116.2
1264,용산시티파크1단지,11170,용산구,한양철우아파트 주택재건축 정비사업조합,재건축,조합설립인가,한강로3가 65-500,144.5
1291,한성아파트,11170,용산구,한남동 한성아파트 가로주택정비사업,가로주택정비,조합설립인가,한남동 29-4,22.6
2381,불광삼익아파트,11380,은평구,불광1주택재건축정비사업(신탁방식),재건축,사업시행인가,불광동 19-3,63.4
2395,미성아파트(불광동),11380,은평구,불광미성아파트 주택재건축정비사업,재건축,추진위원회승인,불광동 248,96.2
2445,새절역 두산위브트레지움,11380,은평구,신사1 주택재건축정비사업 조합,재건축,착공,신사동 170-12,90.4
2456,라이프 씨티아파트,11380,은평구,성락타운아파트소규모재건축사업,소규모재건축,조합설립인가,신사동 261-20,144.3
2441,센트레빌아스테리움시그니처아파트,11380,은평구,역촌1구역 주택재건축정비사업조합,재건축,분양,역촌동 189,137.2
1162,금강하이츠빌라,11110,종로구,금강하이츠빌라 주택재건축사업,재건축,안전진단,평창동 64-3,40.7
1755,경남아파트,11260,중랑구,망우1구역 공공재건축정비사업조합,재건축,조합설립인가,망우동 178-1,78.5
1742,장미,11260,중랑구,장미아파트 소규모재건축정비사업조합,소규모재건축,조합설립인가,묵동 188-1,41.6
1796,중앙하이츠,11260,중랑구,신일빌라 소규모재건축정비사업조합,재건축,철거,신내동 482-1,77.0
1730,중화한신아파트,11260,중랑구,중화우성타운 재건축정비사업,재건축,조합설립인가,중화동 195-2,121.1
