complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
3089,마곡푸르지오,11500,강서구,신안빌라주택재건축정비사업,재건축,사업시행인가,마곡동 327-53,143.1
3079,해태아파트,11500,강서구,방화6재정비촉진구역 주택재건축정비사업조합,재건축,분양,방화동 608-97,147.3
2934,염창우성1차,11500,강서구,염창동 우성1차·2차·삼천리아파트 통합재건축정비사업,재건축,추진위원회승인,염창동 70-11,11.4
2939,염창무학,11500,강서구,염창무학아파트 리모델링주택조합,리모델링,지구단위계획수립/건축심의/교통심의,염창동 255,21.0
2925,염창롯데캐슬,11500,강서구,우성주택 소규모재건축정비사업조합,소규모재건축,조합설립인가,염창동 276-1,71.3
2914,염창현대아이파크아파트,11500,강서구,덕수연립주택재건축정비사업조합,재건축,조합해산,염창동 283,122.2
3764,남현우림루미아트,11620,관악구,경성연립 주택재건축정비사업 조합,재건축,준공인가,남현동 1079-13,80.8
3754,신림건영1차,11620,관악구,미성동 건영아파트  재건축정비사업 조합,재건축,조합설립인가,신림동 746-43,22.1
3727,힐스테이트뉴포레,11620,관악구,강남아파트 재건축정비사업 조합,재건축,이전고시,신림동 1644,43.9
3759,신림미성,11620,관악구,미성아파트 재건축정비사업 조합,재건축,사업시행인가,신림동 1656,58.7
1467,워커힐아파트,11215,광진구,워커힐아파트1단지 재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,광장동 145-8,102.6
1520,자양우성2차,11215,광진구,자양제7구역 주택재건축정비사업 조합,재건축,조합설립인가,자양동 464-40,123.3
1523,자양한양,11215,광진구,자양한양아파트 재건축정비사업,재건축,추진위원회승인,자양동 695,209.4
1441,중곡SK,11215,광진구,중곡동 대원빌라 소규모재건축,소규모재건축,조합설립인가,중곡동 18-16,114.9
1439,중곡아파트2단지,11215,광진구,중곡아파트 주택재건축정비사업조합,재건축,조합설립인가,중곡동 190-26,21.4
3246,개봉한진,11530,구로구,길훈아파트 주택재건축정비사업조합,재건축,착공,개봉동 312-38,142.7
3212,고척한효,11530,구로구,고척동 한효아파트 재건축 정비구역,재건축,정비구역지정,고척동 52-332,66.4
3213,산업인,11530,구로구,고척동 산업인아파트 재건축정비사업조합,재건축,사업시행인가,고척동 57-9,33.5
3219,삼익아파트2단지,11530,구로구,한성아파트 소규모재건축정비사업,소규모재건축,조합설립인가,고척동 227-1,86.4
3175,구로우성,11530,구로구,구로우성아파트 재건축정비사업,재건축,조합설립인가,구로동 23,26.1
3184,구로보광,11530,구로구,구로동440번지일대(보광아파트)재건축정비사업조합,재건축,관리처분인가,구로동 440,55.6
3274,궁동우신빌라,11530,구로구,우신빌라 재건축정비사업,재건축,조합설립인가,궁동 213-27,135.8
