complex_id,complex_name,lawd_cd,sigun,zone_name,biz_type,biz_step,addr,lat,lon,match_meters,match_by,existing_far,planned_far,existing_households,정비구역지정,추진위,안전진단,조합설립,사업시행인가,관리처분,착공,준공
7644,e편한세상 시흥 더블스퀘어 아파트,41390,시흥시,대야3,재건축,착공,경기도 시흥시 대야동 284,37.44934902545229,126.79363989502022,53.9,세대수,180%,299%,1025,20161230,20180403,20130725,,20200929,20211105,20230810,
6526,성포주공4단지,41271,안산시,주공4단지,재건축,예정구역,경기도 안산시 성포동 588,37.31942434106835,126.84367515389924,87.2,세대수,181%,,780,,,20231226,,,,,
6527,성포주공10단지,41271,안산시,성포주공3단지,재건축,청산,경기도 안산시 상록구 성포동 587,37.320103089576946,126.84682358346572,152.1,이름,81%,259%,700,20131016,20131129,20050526,,,20150331,20151028,20180921
6623,군자주공11단지,41273,안산시,군자주공5단지,재건축,청산,경기도 안산시 단원구 초지동 603,37.328122780599635,126.80674653524181,375.2,이름,88%,240%,400,20110822,20110823,20050502,,,20120607,20151028,20180530
6525,성포현대1차,41271,안산시,현대1차아파트,재건축,조합설립,경기도 안산시 성포동 592-2,37.32459866240217,126.84503016155675,47.1,세대수,124%,,570,,,20230127,,,,,
6625,"군자주공9,10단지",41273,안산시,군자주공9,재건축,조합설립,경기도 안산시 선부동 967,37.335619616895194,126.80577332270025,4.1,이름,100%,,540,,,20230127,,,,,
6558,고잔주공6단지,41273,안산시,주공6단지,재건축,조합설립,경기도 안산시 고잔동 676-2,37.32581525886648,126.83628140106379,104.7,세대수,87%,260%,590,,,20140220,,,,,
6625,"군자주공9,10단지",41273,안산시,군자주공10,재건축,추진위원회,경기도 안산시 선부동 1083,37.337722756291214,126.80898542217707,364.8,이름,100%,,790,20241218,,20230127,,,,,
6521,안산월드1단지,41271,안산시,월드아파트,재건축,추진위원회,경기도 안산시 본오동 872,37.299731874126294,126.86514430185011,29.9,세대수,128%,,1070,20241218,,20230127,,,,,
6625,"군자주공9,10단지",41273,안산시,군자주공7단지,재건축,준공,경기도 안산시 단원구 선부동 961,37.334010070031496,126.80620582157124,182.0,이름,77%,264%,480,20161014,20151027,20050502,,,20161013,20180124,20200925
9060,금산주공,41550,안성시,금산주공 아파트,재건축,예정구역,경기도 안성시 금산동 100번지 일원,37.01317085862945,127.26704645067443,86.4,이름,83%,250%,,,,20230609,,,,,
9077,옥산주공,41550,안성시,옥산주공 아파트,재건축,예정구역,경기도 안성시 옥산동 10번지 일원,37.012398779182526,127.25239446185745,65.9,이름,96%,250%,,,,20230619,,,,,
5566,뉴골든아파트,41171,안양시,뉴골든아파트,재건축,추진위원회,경기도 안양시 안양동 1024-1,37.390234285394264,126.91047190854445,96.9,이름,157%,,231,,20250924,,,,,,
5639,박달우성,41171,안양시,박달우성아파트,재건축,추진위원회,경기도 안양시 박달동 85,37.40096281844916,126.90779456286046,73.8,이름+세대수,236%,,1020,,20251015,,,,,,
