kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
농공,충북,옥천군,옥천제2농공단지,78,56,2023-09-15,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
일반,충남,천안시,천안에코밸리일반산업단지,349,220,2023-10-13,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,경남,고성군,고성양촌·용정일반산업단지,1574,959,2023-10-19,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,강원,태백시,철암고터실일반산업단지,200,127,2023-10-26,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
국가,세종,세종시,세종스마트국가산업단지,2753,1387,2023-10-30,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
국가,충북,충주시,충주바이오헬스국가산업단지,2241,1065,2023-10-30,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,부산,강서구,부산명서일반산업단지,121,59,2023-11-01,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,천안시,천안신사일반산업단지,632,385,2023-11-21,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
도시첨단,경북,김천시,경북김천혁신도시도시첨단산업단지,39,16,2023-11-23,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,부산,강서구,"부산연구개발특구첨단복합지구
(일반산업단지)",1744.114,522.431,2023-12-06,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
도시첨단,경남,창원시,해양신도시도시첨단산업단지,33,21,2023-12-11,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
농공,충남,태안군,태안제2농공단지,89,50,2023-12-13,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,아산시,케이밸리아산일반산업단지,567.412,264.591,2023-12-18,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,아산시,아산신창일반산업단지,484.394,350.575,2023-12-18,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,울산,울주군,대대일반산업단지,115.115,58.791,2023-12-21,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,서산시,대산충의일반산업단지,120.92,69.221,2023-12-26,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,청양군,청양일반산업단지,731.849,487.18,2023-12-29,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
일반,충남,서산시,대산3일반산업단지(확장),778.496,563.436,2023-12-29,,한국산업단지공단_전국산업단지현황통계_20231231.xlsx
농공,강원,삼척시,근덕제2농공단지,52,30,2024-01-12,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
도시첨단,경기,부천시,부천대장제1도시첨단산업단지,334,205,2024-01-15,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
도시첨단,경기,부천시,부천대장제2도시첨단산업단지,226,131,2024-01-15,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
농공,강원,횡성군,횡성조곡농공단지,185,128,2024-01-15,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
국가,충남,논산시,논산국방국가산업단지,870,540,2024-01-26,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
일반,충북,청주시,"청주에어로폴리스3일반산업단지
(충북경제자유구역)",1129,720,2024-03-22,,한국산업단지공단_전국산업단지현황통계_20240331.xlsx
일반,충남,아산시,선장그린컴플렉스일반산업단지,942,498,2024-04-30,,한국산업단지공단_전국산업단지현황통계_20240630.xlsx
일반,충북,영동군,황간산업단지,210,142,2024-05-07,,한국산업단지공단_전국산업단지현황통계_20240630.xlsx
