complex_id,complex_name,lawd_cd,region,project_name,project_type,option_stage,option_stage_label,stage_verification,stage_source,stage_label_raw,match_meters,existing_far,existing_households,site_area,land_share,base_allowed_far,policy_allowed_far,upside_allowed_far,estimated_new_households,member_households,general_sale_units,general_sale_ratio,estimated_member_contribution,contribution_status,years_to_next_stage,years_to_completion,project_probability,probability_status,base_case_liquid_exit,project_case_liquid_exit,upside_case_liquid_exit,base_terminal_wealth,project_terminal_wealth,upside_terminal_wealth,net_project_upside,option_value,option_already_priced_ratio,option_data_confidence,option_research_status,option_research_priority
2180,공릉태릉우성,11350,서울,공릉1(태릉현대) 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,51.4,161.87486050145077,N/A,N/A,62.226851851851855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3764,남현우림루미아트,11620,서울,경성연립 주택재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,80.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4068,대치르엘,11680,서울,대치제2지구 재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,146.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4066,디에이치 대치 에델루이아파트,11680,서울,대치동 구마을 제3지구 재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,35.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3767,래미안 원페를라,11650,서울,방배6구역 주택재건축 정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3872,래미안 원펜타스,11650,서울,신반포15차아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,55.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3921,래미안서초에스티지에스아파트,11650,서울,우성2차아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,113.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4249,래미안송파파인탑,11710,서울,반도아파트 주택재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,52.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3831,메이플자이,11650,서울,신반포4지구 재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,114.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
2846,"목동대원칸타빌2,3단지",11470,서울,목원연립 주택재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,99.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
