stage,samples,median_delta,positive_ratio,q1,q3,window_months,source_name,note
정비구역지정,15,-0.041694,0.4,-0.113092,0.041396,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
추진위,13,0.011328,0.6154,-0.071019,0.05235,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
안전진단,21,0.012624,0.619,-0.056643,0.070743,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
관리처분,5,-0.064499,0.4,-0.10294,0.017678,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
착공,6,-0.019568,0.5,-0.148965,0.035804,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
준공,7,-0.010088,0.2857,-0.093456,0.047085,12,경기도 일반 정비사업 추진현황 + 자체 가격 스냅샷,시군구 중앙값 대비 상대가격의 인가 전후 변화
