dest_cd,dest_nm,origin_cd,origin_nm,year,movers
41390,시흥시,48170,진주시,2023,58
41390,시흥시,48170,진주시,2024,68
41390,시흥시,48170,진주시,2025,52
41390,시흥시,48190,진해시,2012,0
41390,시흥시,48190,진해시,2013,0
41390,시흥시,48190,진해시,2014,0
41390,시흥시,48190,진해시,2015,0
41390,시흥시,48190,진해시,2016,0
41390,시흥시,48190,진해시,2017,0
41390,시흥시,48190,진해시,2018,0
41390,시흥시,48190,진해시,2019,0
41390,시흥시,48190,진해시,2020,0
41390,시흥시,48190,진해시,2021,0
41390,시흥시,48190,진해시,2022,0
41390,시흥시,48190,진해시,2023,0
41390,시흥시,48190,진해시,2024,0
