stage,samples,median_delta,positive_ratio,q1,q3,window_months
추진위,29,0.046329,0.6552,-0.041824,0.14375,12
조합설립,50,0.012235,0.52,-0.055812,0.081716,12
사업시행인가,27,0.030318,0.5556,-0.064417,0.162026,12
관리처분,18,0.029062,0.5556,-0.071601,0.097082,12
착공,7,0.073125,1.0,0.039423,0.183978,12
