follower_id,follower_band,leader_id,leader_band,kind,months,current_ratio,hist_p10,hist_p25,hist_median,hist_p75,hist_p90,regime_now,regime_normal,normal_used,normal_basis,observed_gap,structural_gap,recoverable_gap,structural_flags,episodes,successes,transmission_p,transmission_status,catchup_median,leader_move,follower_start,mispricing,mispricing_status,size_premium,follower_name,leader_name
5597,84,7936,84,UPPER_GRADE,219,0.5475277734313879,0.5589553768706863,0.5991836670245689,0.6219512195121951,0.6427688504326329,0.6625,상승초기,0.6353670092216317,0.6353670092216317,현 국면(상승초기) 과거 중앙값,0.13824960143563778,0.01382496014356377,0.124424641292074,학군(학원가 밀도 격차),5,4,0.8,VERIFIED,2.0,CONFIRMED,거래량↑,0.09953971303365922,PROXY(구조 플래그),,냉천마을현대아파트,산본이편한세상센트럴파크
5597,84,5642,84,BUYER_CHOICE,228,0.7728442728442728,0.7698067632850242,0.8061720753382262,0.8363636363636363,0.8553362573099415,0.8839240506329115,상승초기,0.845295665761987,0.845295665761987,현 국면(상승초기) 과거 중앙값,0.08571130298225685,0.008571130298225677,0.07714017268403117,세대수(대단지) 격차,5,4,0.8,VERIFIED,1.3186,CONFIRMED,거래량↑,0.06171213814722494,PROXY(구조 플래그),,냉천마을현대아파트,한라비발디
6571,74,6554,74,LOCAL,77,0.6270417590539541,0.5351088450277839,0.5647773279352226,0.6100671140939598,0.623780487804878,0.631604621309371,바닥형성,0.6123737373737373,0.6123737373737373,현 국면(바닥형성) 과거 중앙값,-0.023952728187075598,0.0,0.0,연식·상품성 격차,2,2,1.0,PROXY,1.3624,CONFIRMED,P25↑|Median↑,0.0,PROXY(구조 플래그),,네오빌6단지,힐스테이트중앙
6571,74,5736,74,GRADE,77,0.45638766519823787,0.3985611510791367,0.41379310344827586,0.465,0.49948717948717947,0.5128253867079459,바닥형성,0.46101847679134744,0.46101847679134744,현 국면(바닥형성) 과거 중앙값,0.010044741862277756,0.0010044741862277745,0.009040267676049981,연식·상품성 격차,1,1,1.0,PROXY,1.4431,UNKNOWN,P25↑|Median↑,0.0045201338380249905,PROXY(구조 플래그),,네오빌6단지,평촌더샵아이파크아파트
6571,74,3358,74,UPPER_GRADE,222,0.3329114706791714,0.3608827687313472,0.43478260869565216,0.5700712589073634,0.6527862829148806,0.7004663733443747,바닥형성,0.578806767586821,0.578806767586821,현 국면(바닥형성) 과거 중앙값,0.4248314129650624,0.0,0.4248314129650624,,6,5,0.8333333333333334,VERIFIED,1.02495,PARTIAL,P25↑|Median↑,0.24781832422961972,VERIFIED,,네오빌6단지,영등포푸르지오
6571,74,6524,59,BUYER_CHOICE,79,0.8183691756272402,0.674874601003192,0.7107961489165102,0.7327586206896551,0.7812111479486117,0.8208955223880597,바닥형성,0.7893280632411067,0.7893280632411067,현 국면(바닥형성) 과거 중앙값,-0.03679219546165135,0.0,0.0,연식·상품성 격차,2,2,1.0,PROXY,1.2716,NONE,P25↑|Median↑|Gap 축소,0.0,PROXY(구조 플래그),1.5350548645467192,네오빌6단지,안산파크푸르지오 아파트
6571,84,6556,84,LOCAL,101,0.6153846153846154,0.5164485345460404,0.5778443113772455,0.608433734939759,0.6320927394752898,0.6766850828729282,바닥형성,0.6184093488873634,0.6184093488873634,현 국면(바닥형성) 과거 중앙값,0.004891150996003028,0.0004891150996003029,0.004402035896402725,연식·상품성 격차,3,2,0.6666666666666666,VERIFIED,2.0,CONFIRMED,P25↑|Median↑,0.0029346905976018163,PROXY(구조 플래그),,네오빌6단지,안산센트럴푸르지오
6571,84,7936,84,GRADE,226,0.6539273979033016,0.5526595830444527,0.6246326734911357,0.7049870100530894,0.7345781521168022,0.7597447257676977,바닥형성,0.7117184436910445,0.7117184436910445,현 국면(바닥형성) 과거 중앙값,0.08119930894024989,0.014485956714940587,0.0667133522253093,,6,4,0.6666666666666666,VERIFIED,0.8215999999999999,CONFIRMED,P25↑|Median↑,0.0444755681502062,VERIFIED,,네오빌6단지,산본이편한세상센트럴파크
6571,84,6554,59,BUYER_CHOICE,94,0.740819209039548,0.6657568203198495,0.7429144958121744,0.7744274809160305,0.7996527777777778,0.8587686923789499,바닥형성,0.7684805890227577,0.7684805890227577,현 국면(바닥형성) 과거 중앙값,0.03599489743571201,0.003599489743571202,0.03239540769214081,연식·상품성 격차,3,2,0.6666666666666666,VERIFIED,1.2449,CONFIRMED,P25↑|Median↑,0.021596938461427205,PROXY(구조 플래그),1.9136869657947033,네오빌6단지,힐스테이트중앙
7750,74,6554,74,UPPER_GRADE,79,0.7264412416851441,0.7272864184008763,0.7445795023239765,0.7704620888831415,0.800674922411344,0.8486721504112809,바닥형성,0.7580747308423053,0.7580747308423053,현 국면(바닥형성) 과거 중앙값,0.0417287212858458,0.013077781250984074,0.028650940034861728,,3,2,0.6666666666666666,VERIFIED,0.6866,CONFIRMED,P25↑|Median↑|거래량↑,0.019100626689907817,VERIFIED,,네이처하임 아파트,힐스테이트중앙
