ym,sido,sigungu,lawd_cd,level,unsold
200703,대전,계,,시도,1048
200703,울산,계,,시도,1687
200703,경기,계,,시도,2579
200703,경기,수원시,41111,시(구 합산),187
200703,경기,수원시,41113,시(구 합산),187
200703,경기,수원시,41115,시(구 합산),187
200703,경기,수원시,41117,시(구 합산),187
200703,경기,성남시,41131,시(구 합산),0
200703,경기,성남시,41133,시(구 합산),0
200703,경기,성남시,41135,시(구 합산),0
200703,경기,의정부시,41150,시군구,110
200703,경기,안양시,41171,시(구 합산),0
200703,경기,안양시,41173,시(구 합산),0
200703,경기,부천시,41192,시(구 합산),87
200703,경기,부천시,41194,시(구 합산),87
200703,경기,부천시,41196,시(구 합산),87
200703,경기,부천시,41190,시(구 합산),87
200703,경기,광명시,41210,시군구,0
200703,경기,평택시,41220,시군구,99
200703,경기,동두천시,41250,시군구,0
200703,경기,안산시,41271,시(구 합산),0
200703,경기,안산시,41273,시(구 합산),0
200703,경기,고양시,41281,시(구 합산),12
200703,경기,고양시,41285,시(구 합산),12
200703,경기,고양시,41287,시(구 합산),12
200703,경기,과천시,41290,시군구,0
200703,경기,구리시,41310,시군구,25
200703,경기,남양주시,41360,시군구,153
200703,경기,오산시,41370,시군구,0
200703,경기,시흥시,41390,시군구,40
200703,경기,군포시,41410,시군구,0
200703,경기,의왕시,41430,시군구,0
200703,경기,하남시,41450,시군구,0
200703,경기,용인시,41461,시(구 합산),0
200703,경기,용인시,41463,시(구 합산),0
200703,경기,용인시,41465,시(구 합산),0
200703,경기,파주시,41480,시군구,0
200703,경기,이천시,41500,시군구,218
200703,경기,안성시,41550,시군구,576
200703,경기,김포시,41570,시군구,38
200703,경기,양주시,41630,시군구,224
200703,경기,여주시,41670,시군구,144
200703,경기,화성시,41591,시(구 합산),98
200703,경기,화성시,41593,시(구 합산),98
200703,경기,화성시,41595,시(구 합산),98
200703,경기,화성시,41597,시(구 합산),98
200703,경기,화성시,41590,시(구 합산),98
200703,경기,광주시,41610,시군구,
200703,경기,연천군,41800,시군구,337
200703,경기,포천시,41650,시군구,231
200703,경기,가평군,41820,시군구,
200703,경기,양평군,41830,시군구,
