no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
110,남동구,주택재개발,정비구역지정,동부초 / 정비구역후보지(23년 2차),만수동 111-5번지 일원,BARA_0000000000452,만수동 111-5번지 일원,1,,,,,,,
109,부평구,주택재개발,정비구역지정,동소정사거리북동측 / 정비구역후보지(23년 2차),부평동 614번지 일원,BARA_0000000000458,부평동 614번지 일원,1,,20260708,,,,,
108,부평구,주택재개발,정비구역지정,동수초북측 / 정비구역후보지(23년 2차),부평동 623-1번지 일원,BARA_0000000000459,부평동 623-1번지 일원,1,,,,,,,
107,부평구,주택재개발,정비구역지정,동암중서측 / 정비구역후보지(23년 1차),십정동 499-1번지 일원,BARA_0000000000457,십정동 499-1번지 일원,1,,,,,,,
106,서해구,주택재건축,준공,롯데우람재건축,석남동 491-3번지 일원,BARA_0000000000189,석남동 491-3외,689,20120611,20091202,20151110,20190507,20200605,20211108,20241118
105,제물포구,주거환경개선,준공,만석동 주꾸미 마을(현지개량),제물량로 341 일원,BARA_0000000000479,제물량로 341 일원,0,20210726,,,,,20201202,20241209
104,남동구,주택재개발,정비구역지정,만수1 / 정비구역후보지(23년 2차),만수동 923번지 일원,BARA_0000000000453,만수동 923번지 일원,1,,,,,,,
103,남동구,주택재개발,추진위승인,만수2 / 정비구역후보지(23년 1차),만수5동 944-3 일원,BARA_0000000000447,만수5동 944-3 일원,1,,20260417,,,,,
102,남동구,주택재개발,정비구역지정,만수3 / 정비구역후보지(23년 2차),만수동 935-1번지 일원,BARA_0000000000454,만수동 935-1번지 일원,1,,,,,,,
101,남동구,주택재개발,정비구역지정,만수4 / 정비구역후보지(23년 2차),만수동 949번지 일원,BARA_0000000000455,만수동 949번지 일원,1,,,,,,,
100,남동구,주택재개발,추진위승인,만수5,만수동 966번지 일원,BARA_0000000000549,,,,,,,,,
99,남동구,주택재건축,추진위승인,만수주공아파트,만수동 29번지 일원,BARA_0000000000539,,,,,,,,,
98,미추홀구,주거환경개선,착공,메아리마을(현지개량),소성로 314 일원(문학동 368-9),BARA_0000000000487,소성로 314 일원(문학동 368-9),0,20231006,,,20240115,,20240412,
97,미추홀구,재정비촉진,착공,미추1,주안동 590-22 일원,BARA_0000000000559,,,,,,,,,
96,미추홀구,재정비촉진,정비구역지정,미추4,주안2동 468-2번지 일원,BARA_0000000000533,,,,,,,,,
95,미추홀구,재정비촉진,추진위승인,미추5,주안2동 702-9번지 일원,BARA_0000000000534,,,,,,,,,
94,미추홀구,재정비촉진,정비구역지정,미추6,주안2동 549-16번지 일원,BARA_0000000000535,주안2동 549-16번지 일원,1811,,,,,,,
93,미추홀구,재정비촉진,정비구역지정,미추7,주안4동 450-11번지 일원,BARA_0000000000536,,,,,,,,,
92,미추홀구,재정비촉진,관리처분,미추8,주안동 1536-17번지 일원,BARA_0000000000537,,,,,,,,,
91,미추홀구,재정비촉진,정비구역지정,미추C,주안2동 468-2번지 일원,BARA_0000000000531,,,,,,,,,
90,미추홀구,주거환경개선,준공,베말마을(현지개량),석정로 301번길 일원,BARA_0000000000486,석정로 301번길 일원,0,20220613,,,20220725,,,20250110
89,부평구,주택재개발,착공,부개4구역,부개동 13-5번지 일원,BARA_0000000000122,"부개동 13-5번지 일원(66,688.8)",1299,20091130,20080201,20100326,20111125,20201026,20250912,
88,부평구,주택재개발,조합설립인가,부개5구역,부개1동 381-15번지 일원,BARA_0000000000123,부개1동 381-15번지 일원,1829,20090720,20080418,20100224,,,,
87,부평구,주택재개발,정비구역지정,부광초교서측 / 정비구역후보지(23년 2차),부개동 65-1번지 일원,BARA_0000000000460,부개동 65-1번지 일원,1,,,,,,,
86,부평구,주택재개발,착공,부평2구역,부평2동 760-700번지 일원,BARA_0000000000104,"부평동 760-700번지(59,954)",1500,20080526,20060925,20081009,20101224,20200616,20220421,
85,부평구,주택재개발,착공,부평4구역,부평동 665-2번지 일원,BARA_0000000000105,"부평동 665번지 일원(80,720.2)",2413,20060824,20080509,20080822,20210409,20220425,20210602,
84,부평구,주택재건축,조합설립인가,부평현대1단지,산곡동 307번지 9 일원,BARA_0000000000528,산곡동 307번지 9 일원,3324,19940704,20250825,,,,,
83,부평구,주택재개발,정비구역지정,부흥초동측 / 정비구역후보지(23년 2차),부평동 156-1번지 일원,BARA_0000000000462,부평동 156-1번지 일원,1,,,,,,,
82,연수구,주거환경개선,준공,비류마을(현지개량),비류대로 347번길 5번지 일원,BARA_0000000000488,비류대로 347번길 5번지 일원,0,20230712,,,20230824,,20231128,20260630
81,부평구,주택재개발,조합설립인가,산곡3구역,산곡동 180-190번지 일원,BARA_0000000000109,산곡동 180-190번지 일원,2,20230403,20060824,20100714,20221130,,,
80,부평구,주택재개발,사업시행인가,산곡5구역,산곡동 370-58번지 일원,BARA_0000000000110,"산곡동 370-58번지 일원(88,025.5)",1498,20081208,20060824,20090312,20110819,,,
79,부평구,주택재개발,착공,산곡6구역,산곡동 10번지 일원,BARA_0000000000127,"산곡동 10번지 일원(122,971)",2110,20090413,20071228,20090723,20180814,20200701,20260408,
78,부평구,주택재개발,사업시행인가,산곡7구역,산곡동 225-2번지 일원,BARA_0000000000128,산곡동 225-2번지 일원,1536,20091123,20071226,20100430,20250324,,,
77,부평구,주택재개발,착공,산곡구역,산곡동 87-903번지 일원,BARA_0000000000119,"산곡동 87-956번지 일원(115,101.2)",2475,20040524,20081024,20100302,20130408,20220516,20240808,
76,부평구,주택재건축,관리처분,산곡재원아파트구역,산곡1동 180-329번지 일원,BARA_0000000000131,"산곡1동 180-329번지(10,500)",294,20210405,20080728,20210706,20221108,20241111,,
75,부평구,주택재건축,착공,삼산대보아파트구역,삼산동 191번지 일원,BARA_0000000000132,"삼산동 191번지(16,000)",500,20111205,20130212,20161125,20210707,20221027,20240930,
