emd_cd10,sido_cd,sgg_cd,ym,workplaces,insured,notice_amount,file
1114014700,11,11140,2026-0,110,11173,5354237460, 내역_20260825
4159325024,41,41593,2026-0,223,2393,795933720, 내역_20260825
1114017100,11,11140,2026-0,129,4973,1785504200, 내역_20260825
1114014300,11,11140,2026-0,84,1412,533380840, 내역_20260825
1156013300,11,11560,2026-0,321,8191,2656632100, 내역_20260825
1147010200,11,11470,2026-0,819,14804,5562619640, 내역_20260825
1111015900,11,11110,2026-0,68,3309,1387980360, 내역_20260825
1117012500,11,11170,2026-0,607,22221,10855671500, 내역_20260825
1144011100,11,11440,2026-0,192,2973,908975620, 내역_20260825
1111013800,11,11110,2026-0,78,17538,3978838440, 내역_20260825
1114015900,11,11140,2026-0,79,9119,3553198720, 내역_20260825
1121510500,11,11215,2026-0,583,22994,8778804440, 내역_20260825
4182025022,41,41820,2026-0,58,789,276491780, 내역_20260825
4159134021,41,41591,2026-0,144,4734,2212913300, 내역_20260825
1121510200,11,11215,2026-0,144,1715,565500020, 내역_20260825
1114016100,11,11140,2026-0,111,14245,4210935020, 내역_20260825
1171010400,11,11710,2026-0,384,7929,2706100980, 내역_20260825
1126010100,11,11260,2026-0,430,5565,1742457100, 내역_20260825
4159131022,41,41591,2026-0,50,502,173060080, 내역_20260825
4159134030,41,41591,2026-0,130,1720,625080460, 내역_20260825
1123010700,11,11230,2026-0,116,2690,905610340, 내역_20260825
1120010700,11,11200,2026-0,244,4712,1546709720, 내역_20260825
4163033027,41,41630,2026-0,83,905,290195580, 내역_20260825
1159010700,11,11590,2026-0,426,5643,1878028920, 내역_20260825
1126010500,11,11260,2026-0,230,3546,1114872340, 내역_20260825
4136025024,41,41360,2026-0,134,1314,452165160, 내역_20260825
4145011100,41,41450,2026-0,46,516,170842600, 내역_20260825
4183033024,41,41830,2026-0,15,135,36928500, 내역_20260825
1130510200,11,11305,2026-0,273,3950,1184476040, 내역_20260825
1129013900,11,11290,2026-0,146,2820,764782200, 내역_20260825
1129013300,11,11290,2026-0,218,4965,1544676200, 내역_20260825
1111011800,11,11110,2026-0,118,3051,1433900980, 내역_20260825
1168010300,11,11680,2026-0,584,19200,6451777980, 내역_20260825
1171011400,11,11710,2026-0,112,1700,512095100, 내역_20260825
4165032022,41,41650,2026-0,45,473,143814060, 내역_20260825
1144010500,11,11440,2026-0,114,1195,385787440, 내역_20260825
4148011500,41,41480,2026-0,348,8778,3118363040, 내역_20260825
1111012400,11,11110,2026-0,177,17579,6207345600, 내역_20260825
1114013700,11,11140,2026-0,75,3135,1189983880, 내역_20260825
1114016000,11,11140,2026-0,41,485,154946500, 내역_20260825
1168010700,11,11680,2026-0,2158,36738,12922099180, 내역_20260825
1114013200,11,11140,2026-0,86,1091,415025640, 내역_20260825
1114014800,11,11140,2026-0,158,5572,2523238200, 내역_20260825
1111014400,11,11110,2026-0,18,228,62697440, 내역_20260825
1111012900,11,11110,2026-0,43,1506,647856860, 내역_20260825
1156012700,11,11560,2026-0,411,12540,4325684320, 내역_20260825
1114010700,11,11140,2026-0,32,1620,833824880, 내역_20260825
1114012300,11,11140,2026-0,35,964,508930880, 내역_20260825
1114015800,11,11140,2026-0,118,5070,1741986540, 내역_20260825
2820011100,28,28200,2026-0,1964,34163,12271063340, 내역_20260825
1171011200,11,11710,2026-0,347,5622,1919363020, 내역_20260825
4129010600,41,41290,2026-0,101,5699,1652503600, 내역_20260825
1171011100,11,11710,2026-0,943,17461,6763837840, 내역_20260825
1174010600,11,11740,2026-0,175,5992,2335371100, 내역_20260825
1130510100,11,11305,2026-0,375,4762,1365495320, 내역_20260825
4161033028,41,41610,2026-0,140,1699,558973960, 내역_20260825
2818510600,28,28185,2026-0,3051,63547,26398799960, 내역_20260825
4165033026,41,41650,2026-0,188,1921,599474000, 내역_20260825
1171010500,11,11710,2026-0,397,5982,1898569640, 내역_20260825
4163033021,41,41630,2026-0,160,1965,630260920, 내역_20260825
1123010400,11,11230,2026-0,273,3868,1069843740, 내역_20260825
4165035023,41,41650,2026-0,14,217,83624120, 내역_20260825
1111014600,11,11110,2026-0,28,245,67996900, 내역_20260825
1114016200,11,11140,2026-0,969,13668,4287653220, 내역_20260825
1132010800,11,11320,2026-0,218,3394,990112160, 내역_20260825
1132010600,11,11320,2026-0,264,3602,1015916140, 내역_20260825
1111018300,11,11110,2026-0,70,939,285497860, 내역_20260825
1130510300,11,11305,2026-0,399,5406,1621656100, 내역_20260825
4148025627,41,41480,2026-0,31,296,88384180, 내역_20260825
4125010100,41,41250,2026-0,46,422,127028460, 내역_20260825
2820010700,28,28200,2026-0,383,10798,4055757540, 내역_20260825
4137012000,41,41370,2026-0,47,1128,442723300, 내역_20260825
4136011100,41,41360,2026-0,949,9098,2875340960, 내역_20260825
1138010900,11,11380,2026-0,148,1684,478087160, 내역_20260825
1138010500,11,11380,2026-0,87,2223,779759700, 내역_20260825
4113510300,41,41135,2026-0,811,50797,27820443580, 내역_20260825
1141010200,11,11410,2026-0,157,13966,6600193920, 내역_20260825
1154510200,11,11545,2026-0,735,12442,4388304500, 내역_20260825
1138010400,11,11380,2026-0,157,2361,690431780, 내역_20260825
1150010700,11,11500,2026-0,172,1738,594742200, 내역_20260825
4141010500,41,41410,2026-0,396,6160,2167533620, 내역_20260825
1144012200,11,11440,2026-0,469,8287,3181519600, 내역_20260825
1144012500,11,11440,2026-0,607,7911,2425822440, 내역_20260825
1144010900,11,11440,2026-0,114,3803,1465175920, 내역_20260825
1150010100,11,11500,2026-0,406,7424,2881345380, 내역_20260825
1150011000,11,11500,2026-0,68,2596,1202302260, 내역_20260825
2815510300,28,28155,2026-0,544,34709,13635661140, 내역_20260825
4159135024,41,41591,2026-0,193,2792,997707700, 내역_20260825
1156012800,11,11560,2026-0,291,15665,5254469580, 내역_20260825
1159010900,11,11590,2026-0,267,15900,6815195100, 내역_20260825
4159135022,41,41591,2026-0,281,3609,1319003740, 내역_20260825
1138011000,11,11380,2026-0,96,1426,430481980, 내역_20260825
1156012300,11,11560,2026-0,152,3499,1077386020, 내역_20260825
1154510300,11,11545,2026-0,717,10204,3340698220, 내역_20260825
1114011000,11,11140,2026-0,131,21950,7627482800, 내역_20260825
4141010200,41,41410,2026-0,1032,16890,6372659360, 내역_20260825
4119610800,41,41196,2026-0,437,5771,1908499460, 내역_20260825
1168011300,11,11680,2026-0,61,577,153466460, 내역_20260825
4128111700,41,41281,2026-0,65,621,187478160, 내역_20260825
1117010400,11,11170,2026-0,117,7677,2982972280, 내역_20260825
4165031027,41,41650,2026-0,29,290,91946640, 내역_20260825
1150010300,11,11500,2026-0,735,10316,3163739140, 내역_20260825
1141010600,11,11410,2026-0,20,261,73723260, 내역_20260825
1144012000,11,11440,2026-0,1487,23478,8392895600, 내역_20260825
1144011500,11,11440,2026-0,175,2553,751853140, 내역_20260825
1144010700,11,11440,2026-0,200,5235,1795969560, 내역_20260825
1150010400,11,11500,2026-0,656,8808,3032321860, 내역_20260825
1144010200,11,11440,2026-0,626,20631,8891150460, 내역_20260825
1156012600,11,11560,2026-0,180,2170,626717000, 내역_20260825
4183032026,41,41830,2026-0,18,761,234973740, 내역_20260825
4129010300,41,41290,2026-0,595,28337,11925577980, 내역_20260825
4157025026,41,41570,2026-0,44,286,96803660, 내역_20260825
4150031028,41,41500,2026-0,28,423,141545620, 내역_20260825
1141010400,11,11410,2026-0,43,4434,2105586260, 내역_20260825
1138011400,11,11380,2026-0,225,3453,1094760600, 내역_20260825
4113310500,41,41133,2026-0,1811,43484,16430284980, 내역_20260825
1147010100,11,11470,2026-0,718,11425,3555222880, 내역_20260825
1111013700,11,11110,2026-0,78,710,211520200, 내역_20260825
1117011200,11,11170,2026-0,103,1262,438531820, 내역_20260825
2827510200,28,28275,2026-0,370,10307,4090277360, 내역_20260825
1171010800,11,11710,2026-0,3231,98472,33028134940, 내역_20260825
1153011000,11,11530,2026-0,70,1003,306168600, 내역_20260825
1141011900,11,11410,2026-0,136,1801,520344520, 내역_20260825
4165033024,41,41650,2026-0,84,827,255401220, 내역_20260825
4165025022,41,41650,2026-0,190,1919,568314680, 내역_20260825
1138010700,11,11380,2026-0,250,3233,1009987120, 내역_20260825
1141012000,11,11410,2026-0,123,1515,474619240, 내역_20260825
1114012900,11,11140,2026-0,48,481,143862840, 내역_20260825
1165010600,11,11650,2026-0,764,21137,8845420500, 내역_20260825
1141011400,11,11410,2026-0,75,7015,2285820840, 내역_20260825
1144012300,11,11440,2026-0,282,2672,836852840, 내역_20260825
1150010900,11,11500,2026-0,309,11857,4831404240, 내역_20260825
4148010700,41,41480,2026-0,43,380,117050960, 내역_20260825
