year,rate_june,note
2006,4.25,한국은행 기준금리 6월 기준 — 공개 시계열 수기 입력 PROXY · 원문 대조 필요
2007,4.50,
2008,5.00,
2009,2.00,
2010,2.00,
2011,3.25,
2012,3.25,
2013,2.50,
2014,2.50,
2015,1.50,
2016,1.25,
2017,1.25,
2018,1.50,
2019,1.75,
2020,0.50,
2021,0.50,
2022,1.75,
2023,3.50,
2024,3.50,
2025,2.50,
2026,2.50,
