complex_id,pnu,bldNm,platArea,archArea,totArea,vlRatEstmTotArea,vlRat,bcRat,hhldCnt,mainBldCnt,useAprDay,n_items
283,2818510600101610003,송도 캐슬&해모로,83467.6,12049.6234,246707.4595,183628.1096,219.99,14.44,1439,15,20130930,1
284,2818510600101900002,글로벌 캠퍼스 푸르지오,94273.8,23374.69,437309.16,311007.77,329.9,24.79,1703,15,20131015,1
285,2818510600101920001,더샵  그린스퀘어,96614.4,9440.74,263862.2119,192289.0589,199.03,9.77,1516,14,20140311,1
294,2818510600100040001,송도동 4-1,103154,28435.997,513606.312,369598.263,358.2976,27.5665,156,13,20090122,1
299,2820010100116360000,한화 포레나 인천구월,42823.6,7080.6972,153490.908,101123.2854,236.14,16.53,1115,12,20231129,1
301,2820010100115510000,구월 아시아드선수촌 7단지,32033.7,4749.2239,89743.7526,60790.2297,189.77,14.83,1109,7,20230203,1
317,2820010100100230000,구월힐스테이트/롯데캐슬골드,178135.5,36536.2735,856257.0379,622382.5177,349.39,20.51,5076,65,20070801,1
319,2820010100100240000,롯데캐슬골드,116441.3,21902.3787,543517.2407,404178.6217,347.11,18.81,3384,40,20070801,1
333,2820010200109390001,간석래미안자이아파트,120509.8,19178.97,413135.21,301259.37,249.99,15.91,2432,35,20081017,1
340,2820010200109380001,어울림마을,59423.8,12042.6,278649.78,207894.42,349.85,20.27,1733,21,20051027,1
343,2820010200108930001, ,0,7192.61,102313.36,94755.28,0,0,1050,12, ,1
361,2820010300111150001,포레시안(Foresian),147684.7,19658.64,442985.68,322037.87,218.06,13.31,3208,42,20110520,1
365,2820010300111140000,햇빛마을벽산아파트,58711.5,14376.33,262012.53,201432.41,343.09,24.49,2073,22, ,1
370,2820010300110440000,만수뉴서울아파트,23779,5515.6,69023.015,59671.6,250.94,23.2,1234,8,19920709,1
371,2820010300110490000, ,0,4658.367,71729.71,67610.97,0,0,1100,10, ,1
379,2820010300110050000,만수주공아파트,0,11356.24,153178.25,140943.52,0,0,2906,19, ,1
384,2820010300100290000, ,0,16296.873,191309.275,180894.685,0,0,2436,38, ,1
385,2820010300100130000, ,0,11873.88,190017.005,179212.375,0,0,2220,20, ,1
386,2820010300110050000,만수주공아파트,0,11356.24,153178.25,140943.52,0,0,2906,19, ,1
394,2820010500107450000,인천 서창 꿈에그린,77709,11028.17,165098.71,129207.48,166.27,14.19,1212,11,20190226,1
395,2820010500106820000,서창센트럴푸르지오,66141,8661.68,167542.43,123333.64,186.47,13.1,1160,11,20180119,1
396,2820010500106760000,더포레스트,58522,8825.92,139714.96,105291.47,179.92,15.08,1228,13,20171215,1
402,2820010500106770000,,,,,,,,,,,0
408,2820010500106990000,서창퍼스트뷰,82827,14946.42,199034.27,138081.86,166.71,18.05,1196,23,20120614,1
410,2820010500107170000,인천서창엘에이치12단지,56752.3,9402.06,121058.04,89975.33,158.43,16.57,1534,15,20140401,1
437,2820011000106330001,논현휴먼시아,51819,8112.214,120278.742,97643.95,188.43,15.65,1522,16,20070330,1
438,2820011000105990001,주공아파트,59300,7579.948,139467.661,115601.677,194.94,12.78,1800,15,20060804,1
439,2820011000106350001,논현휴먼시아 하늘마을,84993,13118.428,179129.947,151313.262,178.03,15.43,2147,23,20080520,1
440,2820011000106430001,논현휴먼시아 범마을,49733,7319.089,106494.69,88927.306,178.81,14.72,1278,13,20080619,1
441,2820011000107400002,소래휴먼시아 3단지,80282,13236.6,167887.41,124208.9,154.72,16.49,2026,27,20101130,1
443,2820011000105640001,논현주공아파트,45443,6556.329,115233.648,90199.107,198.49,14.43,1190,14, ,1
444,2820011000105770000,소래마을풍림아파트,47772.1,11101.44,152364.447,144332.377,302.13,23.24,1517,22,20000325,1
446,2820011000107740001,에코메트로11단지한화꿈에그린아파트,101464,15417.891,287953.65,201970.117,199.056,15.195,1622,21,20090729,1
447,2820011000107550004,에코메트로12단지한화꿈에그린아파트,82493,11823.524,229203.921,164143.103,198.978,14.332,1298,17,20090729,1
451,2820011000107550001,에코메트로 5블록 한화 꿈에그린아파트,67126.4,7310.748,185058.926,133244.39,198.5,10.89,1052,9,20101224,1
464,2823710100106780005,,,,,,,,,,,0
471,2823710100109620000,부평 SK VIEW 해모로,55436,10042.4563,213087.1527,139122.2987,250.96,18.12,1559,18,20230224,1
474,2823710100109470000,래미안부평,47254,9307.294,182070.656,132259.223,279.89,19.7,1145,18, ,1
482,2823710100100700005,동아아파트,0,15391.92,221793.866,208914.65,0,0,2475,18, ,1
483,2823710100100700125,,,,,,,,,,,0
484,2823710100109350000,,,,,,,,,,,0
489,2823710200106420000,힐스테이트 부평,45122.4,7229.02,198213.3,130802.69,289.88,16.02,1409,10,20230607,1
490,2823710200106300000,더샵 부평센트럴시티,161812.4,32774.1719,755777.1755,535851.5873,331.1902,20.254425,5678,38,20220502,1
496,2823710200106070000,,,,,,,,,,,0
502,2823710300105240000,부평 신일 해피트리 더루츠,40438.2,7901.239,158754.655,99921.449,247.1,19.54,1116,13,20220701,1
508,2823710300105070000,금호 이수 마운트밸리,48756,11405.31,235938.58,166143.5,340.77,23.39,1384,23,20071123,1
518,2823710300101240023,산곡동한화아파트,71775,0.0,246094.59,0.0,0,0,2024,34, ,1
519,2823710300103070000,현대아파트,0,16308.45,243219.13,225860.66,0,0,2204,23, ,1
520,2823710300103110126, ,0,19500.788,126093.518,128688.98,0,0,1497,15, ,1
521,2823710300103700399,현대아파트,0,12412.19,149103.11,140208.49,0,0,1200,15, ,1
525,2823710300102930000,,,,,,,,,,,0
526,2823710400101420001,,,,,,,,,,,0
542,2823710400102000000,"부평1,2차 금호타운",27265,15844.347,309439.06,246541.935,282.79,18.17,2539,24, ,1
543,2823710400101760007,,,,,,,,,,,0
565,2823710500104480001,신성 미소지움아파트,69910,9751.41,202466.3,153793.88,219.99,13.95,1030,15,20050503,1
566,2823710500104530001,삼산타운,70926,9877.525,166029.717,143001.486,201.62,13.93,1351,17,20040817,1
567,2823710500104450005,삼산타운,87555,10838.324,206343.504,179643.101,205.18,12.38,1622,23,20051021,1
568,2823710500104400001,삼산타운1단지아파트,73387,9327.655,175611.808,144324.47,196.66,12.71,1871,22,20050608,1
574,2823710500104560008,주공삼산타운아파트,60978,9075.731,130351.66,108811.624,178.44,14.88,1696,17,20040714,1
578,2823710600103600000, ,33468.6,4198.43,50774.44,46459.84,138.82,12.54,1170,7,19920530,1
586,2823710600103590000,근로복지아파트,0,11408.5,96913.19,90808.82,0,0,1650,9,19920629,1
600,2823710700105120000,부개역 푸르지오,56905.6,9942.553,212279.997,142036.367,249.6,17.47,1054,13,20100128,1
603,2823710700104770003,뉴서울아파트,0,5259.43,71340.6,62659.45,0,0,1140,6, ,1
604,2823710700104990002,"푸른마을 한신,삼부아파트",55726.8,9640.89,176976.511,139143.443,249.68,17.3,1020,14, ,1
607,2823710700104980005,부개주공아파트,0,7578.14,138925.29,125414.32,0,0,1724,19,19961015,1
610,2823710700105010001,부개주공아파트,54451.2,7820.8,150024.656,126345.199,232.03,174.66,1240,14,19971022,1
611,2823710700104960002,부개주공아파트,0,6256.71,110171.42,103383.33,0,0,1490,15,19960911,1
628,2824510100106770000,e편한세상 계양 더프리미어,51457,7633.8868,214931.8601,141440.4019,274.87,14.83,1646,14,20211013,1
636,2824510100101230143,,,,,,,,,,,0
664,2824510200100200000,계산주공아파트,0,4461.04,69771.9,65386.38,0,0,1140,7, ,1
671,2824510200100620001,현대아파트,48819,7876.62,134172.015,126575.195,259.27,16.13,1248,11, ,1
692,2824510300109150001,,,,,,,,,,,0
694,2824510300109120005,도두리마을 대동아파트,33680.5,6171.84,125673.62,84682.57,251.42,18.32,1299,9, ,1
695,2824510300109120004,"도두리마을 동남,롯데아파트",33113.1,5491.78,86589.93,82084.63,247.89,16.58,1282,13, ,1
697,2824510300103860006,,,,,,,,,,,0
698,2824510300109120003,도두리마을동보아파트,35435,7305.44,93627.71,88016.72,248.39,20.62,1276,11, ,1
718,2824510400102300000,계양 효성해링턴 플레이스,63865.4,10459.686,238050.583,166428.51,260.59,16.38,1669,17,20210127,1
730,2824510700104320005,학마을 서해아파트,33113.9,13986.86,212884.77000000002,79154.59,239.04,22.26,2313,26, ,2
731,2824510700104320005,학마을 서해아파트,33113.9,13986.86,212884.77000000002,79154.59,239.04,22.26,2313,26, ,2
732,2824510700104330001,학마을 한진아파트,40044,7269.22,105921.85,99428.52,248.3,18.15,1500,17, ,1
755,2824511800101800000,신동아아파트,57034,12450.95,143816.68,107905.02,0,21.83075,1229,19, ,1
761,2871031025107180000,,,,,,,,,,,0
1156,1111017800101450000,,,,,,,,,,,0
1191,1114016200108440000,남산타운,193813,43326.86,560994.79,448022.02,231.16,22.36,5150,48,20020525,1
1192,1114016200108440000,남산타운,193813,43326.86,560994.79,448022.02,231.16,22.36,5150,48,20020525,1
1196,1114016200108420000,약수하이츠,74375,14874.21,251093.96,190245.84,255.79,19.99,2282,21, ,1
1207,1114016500125450000,롯데캐슬베네치아,39204.2,21647.96,378865.94,218489.57,557.31,55.22,1870,8,20081222,1
1219,1114017400102730000,서울역센트럴자이,55172.3,10817.7235,192785.1899,129253.2355,234.27197,19.607164,1341,18, ,1
1229,1117011600101750000,,,,,,,,,,,0
1242,1117012000100230000,도원동삼성래미안,52461.9,10493.68,202945.67,152113.57,289.95,20,1458,16,20010803,1
1255,1117012500104260000,용산 베르디움 프렌즈,7037.2,4047.54,99837.9,67695.83,961.97,57.52,1086,4,20210305,1
1262,1117012800100980000,센트럴파크,30364.4,18215.12,364262.8571,244452.9171,805.06,59.99,1140,9,20200820,1
1281,1117012900104020000,강촌아파트,30987.6,7224.631,136080.666,0.0,339.36,23.26,1001,9, ,1
