band,max_meters,annual_drift,level_first,level_last,complexes,years,first_year,last_year,source_name,note
~500m,500,0.001314,1.0244,1.0478,723,18,2008,2025,"자체 측정 — 같은 단지 balanced panel, 시군구 중앙값 정규화",2008~2025년 18개 해에 맞춘 최소제곱 직선의 기울기. 단지 723개
500m~1km,1000,6.5e-05,0.9988,0.9968,710,18,2008,2025,"자체 측정 — 같은 단지 balanced panel, 시군구 중앙값 정규화",2008~2025년 18개 해에 맞춘 최소제곱 직선의 기울기. 단지 710개
1~1.5km,1500,-0.001259,0.9817,0.9646,260,18,2008,2025,"자체 측정 — 같은 단지 balanced panel, 시군구 중앙값 정규화",2008~2025년 18개 해에 맞춘 최소제곱 직선의 기울기. 단지 260개
1.5~2km,2000,-0.001588,0.9649,0.9429,84,18,2008,2025,"자체 측정 — 같은 단지 balanced panel, 시군구 중앙값 정규화",2008~2025년 18개 해에 맞춘 최소제곱 직선의 기울기. 단지 84개
2km 밖,,-0.0015,0.9503,0.9141,79,18,2008,2025,"자체 측정 — 같은 단지 balanced panel, 시군구 중앙값 정규화",2008~2025년 18개 해에 맞춘 최소제곱 직선의 기울기. 단지 79개
