bnhhSe,cddcCode,cddcNm,changeDate,creatDate,edcSport,edcSportNm,fondDate,fondType,insttCode,insttNm,latitude,lnmadr,longitude,operSttus,rdnmadr,referenceDate,schoolId,schoolNm,schoolSe
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7751000,경기도용인교육지원청,2006-03-01,공립,B554398,한국교육시설안전원,37.28608046,경기도 용인시 기흥구 동백동 576,127.1555391,운영,경기도 용인시 기흥구 동백8로 39,2026-03-20,B000003964,동막초등학교,초등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8591000,전라남도고흥교육지원청,1975-03-11,공립,B554398,한국교육시설안전원,34.51405905,전라남도 고흥군 도화면 당오리 480-3,127.3204303,운영,전라남도 고흥군 도화면 도화로 476,2026-03-20,B000013110,고흥도화고등학교,고등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8601000,전라남도보성교육지원청,1946-11-15,공립,B554398,한국교육시설안전원,34.85005681,전라남도 보성군 벌교읍 봉림리 303-3,127.343834,운영,전라남도 보성군 벌교읍 조정래길 86-27,2026-03-20,B000010546,벌교중학교,중학교
본교,7240000,대구광역시교육청,2025-10-25,2013-11-29,7261000,대구광역시서부교육지원청,2004-03-01,공립,B554398,한국교육시설안전원,35.91913153,대구광역시 북구 동변동 694,128.604165,운영,대구광역시 북구 동변로 60,2026-03-20,B000002853,대구동변초등학교,초등학교
본교,7480000,울산광역시교육청,2025-10-25,2013-11-29,7491000,울산광역시강북교육지원청,1994-03-01,공립,B554398,한국교육시설안전원,35.56180085,울산광역시 중구 다운동 811,129.2670076,운영,울산광역시 중구 다운8길 5,2026-03-20,B000003504,다운초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7681000,경기도파주교육지원청,1906-04-01,공립,B554398,한국교육시설안전원,37.83214767,경기도 파주시 파주읍 파주리 501,126.8159558,운영,경기도 파주시 파주읍 우계로53번길 15,2026-03-20,B000004688,파주초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7331000,인천광역시북부교육지원청,1996-03-01,공립,B554398,한국교육시설안전원,37.53481361,인천광역시 계양구 계산동 1084-6,126.7397141,운영,인천광역시 계양구 도두리로 47,2026-03-20,B000011438,계산공업고등학교,고등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8611000,전라남도화순교육지원청,1943-04-01,공립,B554398,한국교육시설안전원,34.98770233,전라남도 화순군 도곡면 월곡리 493,126.9106761,운영,전라남도 화순군 도곡면 고인돌1로 115,2026-03-20,B000006662,도곡중앙초등학교,초등학교
본교,9290000,제주특별자치도교육청,2025-10-25,2013-11-29,9296000,제주특별자치도제주시교육지원청,1938-06-05,공립,B554398,한국교육시설안전원,33.52273262,제주특별자치도 제주시 구좌읍 세화리 1391-1,126.8589201,운영,제주특별자치도 제주시 구좌읍 구좌로 65,2026-03-20,B000008020,세화초등학교,초등학교
본교,7480000,울산광역시교육청,2025-10-25,2013-11-29,7501000,울산광역시강남교육지원청,1955-04-30,공립,B554398,한국교육시설안전원,35.55268945,울산광역시 남구 무거동 292-5,129.2642758,운영,울산광역시 남구 북부순환도로19번길 8,2026-03-20,B000003563,삼호초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7321000,인천광역시남부교육지원청,1892-09-01,사립,B554398,한국교육시설안전원,37.47139745,인천광역시 동구 창영동 36,126.6403955,운영,인천광역시 동구 우각로 39,2026-03-20,B000002970,영화초등학교,초등학교
